Community Board,Borough,Complaint Type,cnt
02 BRONX,BRONX,HEAT/HOT WATER,593
02 BRONX,BRONX,PLUMBING,347
02 BRONX,BRONX,Street Light Condition,267
02 BRONX,BRONX,UNSANITARY CONDITION,266
02 BRONX,BRONX,HEATING,260
02 BRONX,BRONX,Noise - Street/Sidewalk,249
02 BRONX,BRONX,Water System,230
02 BRONX,BRONX,Blocked Driveway,228
02 BRONX,BRONX,PAINT/PLASTER,214
02 BROOKLYN,BROOKLYN,Noise - Residential,1576
02 BROOKLYN,BROOKLYN,Illegal Parking,997
02 BROOKLYN,BROOKLYN,Noise,734
02 BROOKLYN,BROOKLYN,Street Condition,492
02 BROOKLYN,BROOKLYN,Street Light Condition,471
02 BROOKLYN,BROOKLYN,Blocked Driveway,423
02 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,414
02 BROOKLYN,BROOKLYN,Noise - Commercial,372
02 BROOKLYN,BROOKLYN,Traffic Signal Condition,345
02 BROOKLYN,BROOKLYN,Water System,344
02 MANHATTAN,MANHATTAN,Noise,928
02 MANHATTAN,MANHATTAN,Noise - Commercial,799
02 MANHATTAN,MANHATTAN,Noise - Residential,757
02 MANHATTAN,MANHATTAN,Street Condition,562
02 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,550
02 MANHATTAN,MANHATTAN,Taxi Complaint,460
02 MANHATTAN,MANHATTAN,HEAT/HOT WATER,452
02 MANHATTAN,MANHATTAN,Illegal Parking,429
02 MANHATTAN,MANHATTAN,Broken Muni Meter,408
02 MANHATTAN,MANHATTAN,General Construction/Plumbing,374
02 QUEENS,QUEENS,Illegal Parking,994
02 QUEENS,QUEENS,Blocked Driveway,958
02 QUEENS,QUEENS,Noise - Residential,927
02 QUEENS,QUEENS,HEAT/HOT WATER,522
02 QUEENS,QUEENS,Street Condition,494
02 QUEENS,QUEENS,Street Light Condition,436
02 QUEENS,QUEENS,Water System,428
02 QUEENS,QUEENS,Traffic Signal Condition,378
02 QUEENS,QUEENS,Noise,346
02 QUEENS,QUEENS,Noise - Street/Sidewalk,269
02 STATEN ISLAND,STATEN ISLAND,Street Condition,1070
02 STATEN ISLAND,STATEN ISLAND,Water System,770
02 STATEN ISLAND,STATEN ISLAND,Street Light Condition,724
02 STATEN ISLAND,STATEN ISLAND,Illegal Parking,708
02 STATEN ISLAND,STATEN ISLAND,Sewer,587
02 STATEN ISLAND,STATEN ISLAND,Missed Collection (All Materials),582
02 STATEN ISLAND,STATEN ISLAND,Noise - Residential,524
02 STATEN ISLAND,STATEN ISLAND,Damaged Tree,464
02 STATEN ISLAND,STATEN ISLAND,Blocked Driveway,364
02 STATEN ISLAND,STATEN ISLAND,Sanitation Condition,344
03 BRONX,BRONX,Noise - Residential,1365
03 BRONX,BRONX,HEAT/HOT WATER,934
03 BRONX,BRONX,Noise - Street/Sidewalk,580
03 BRONX,BRONX,PLUMBING,475
03 BRONX,BRONX,UNSANITARY CONDITION,405
03 BRONX,BRONX,Blocked Driveway,382
03 BRONX,BRONX,HEATING,352
03 BRONX,BRONX,PAINT/PLASTER,297
03 BRONX,BRONX,GENERAL CONSTRUCTION,263
03 BRONX,BRONX,Illegal Parking,232
03 BROOKLYN,BROOKLYN,Noise - Residential,2509
03 BROOKLYN,BROOKLYN,HEAT/HOT WATER,1461
03 BROOKLYN,BROOKLYN,PLUMBING,754
03 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,736
03 BROOKLYN,BROOKLYN,Illegal Parking,708
03 BROOKLYN,BROOKLYN,Blocked Driveway,698
03 BROOKLYN,BROOKLYN,HEATING,619
03 BROOKLYN,BROOKLYN,UNSANITARY CONDITION,558
03 BROOKLYN,BROOKLYN,Noise - Commercial,556
03 BROOKLYN,BROOKLYN,Street Light Condition,535
03 MANHATTAN,MANHATTAN,Noise - Residential,2325
03 MANHATTAN,MANHATTAN,Noise - Commercial,1208
03 MANHATTAN,MANHATTAN,HEAT/HOT WATER,983
03 MANHATTAN,MANHATTAN,Noise,885
03 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,823
03 MANHATTAN,MANHATTAN,Illegal Parking,663
03 MANHATTAN,MANHATTAN,Street Condition,482
03 MANHATTAN,MANHATTAN,Graffiti,430
03 MANHATTAN,MANHATTAN,Taxi Complaint,412
03 MANHATTAN,MANHATTAN,HEATING,386
03 QUEENS,QUEENS,Blocked Driveway,1645
03 QUEENS,QUEENS,Noise - Residential,1576
03 QUEENS,QUEENS,Illegal Parking,766
03 QUEENS,QUEENS,HEAT/HOT WATER,585
03 QUEENS,QUEENS,Street Light Condition,434
03 QUEENS,QUEENS,Water System,428
03 QUEENS,QUEENS,Building/Use,341
03 QUEENS,QUEENS,Street Condition,339
03 QUEENS,QUEENS,Traffic Signal Condition,332
03 QUEENS,QUEENS,Dirty Conditions,293
03 STATEN ISLAND,STATEN ISLAND,Street Condition,1272
03 STATEN ISLAND,STATEN ISLAND,Illegal Parking,1012
03 STATEN ISLAND,STATEN ISLAND,Street Light Condition,938
03 STATEN ISLAND,STATEN ISLAND,Damaged Tree,783
03 STATEN ISLAND,STATEN ISLAND,Water System,773
03 STATEN ISLAND,STATEN ISLAND,Missed Collection (All Materials),711
03 STATEN ISLAND,STATEN ISLAND,Sewer,519
03 STATEN ISLAND,STATEN ISLAND,Sanitation Condition,449
03 STATEN ISLAND,STATEN ISLAND,Noise - Residential,436
03 STATEN ISLAND,STATEN ISLAND,Sidewalk Condition,406
04 BRONX,BRONX,Noise - Residential,2786
04 BRONX,BRONX,HEAT/HOT WATER,2628
04 BRONX,BRONX,Noise - Street/Sidewalk,1451
04 BRONX,BRONX,PLUMBING,1197
04 BRONX,BRONX,HEATING,1044
04 BRONX,BRONX,UNSANITARY CONDITION,1001
04 BRONX,BRONX,PAINT/PLASTER,784
04 BRONX,BRONX,Water System,694
04 BRONX,BRONX,GENERAL CONSTRUCTION,648
04 BRONX,BRONX,Noise - Vehicle,542
04 BROOKLYN,BROOKLYN,Noise - Residential,2192
04 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,837
04 BROOKLYN,BROOKLYN,HEAT/HOT WATER,791
04 BROOKLYN,BROOKLYN,Blocked Driveway,723
04 BROOKLYN,BROOKLYN,Water System,573
04 BROOKLYN,BROOKLYN,PLUMBING,537
04 BROOKLYN,BROOKLYN,Noise - Commercial,500
04 BROOKLYN,BROOKLYN,Illegal Parking,488
04 BROOKLYN,BROOKLYN,UNSANITARY CONDITION,485
04 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,375
04 MANHATTAN,MANHATTAN,Noise,1214
04 MANHATTAN,MANHATTAN,Noise - Residential,932
04 MANHATTAN,MANHATTAN,HEAT/HOT WATER,655
04 MANHATTAN,MANHATTAN,Taxi Complaint,649
04 MANHATTAN,MANHATTAN,Noise - Commercial,608
04 MANHATTAN,MANHATTAN,Illegal Parking,605
04 MANHATTAN,MANHATTAN,Street Condition,537
04 MANHATTAN,MANHATTAN,Water System,419
04 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,399
04 MANHATTAN,MANHATTAN,Homeless Person Assistance,367
04 QUEENS,QUEENS,Blocked Driveway,1570
04 QUEENS,QUEENS,Noise - Residential,1222
04 QUEENS,QUEENS,HEAT/HOT WATER,1084
04 QUEENS,QUEENS,Illegal Parking,499
04 QUEENS,QUEENS,Street Condition,313
04 QUEENS,QUEENS,Street Light Condition,309
04 QUEENS,QUEENS,Water System,305
04 QUEENS,QUEENS,UNSANITARY CONDITION,269
04 QUEENS,QUEENS,HEATING,232
04 QUEENS,QUEENS,Building/Use,226
05 BRONX,BRONX,HEAT/HOT WATER,2612
05 BRONX,BRONX,Noise - Residential,2377
05 BRONX,BRONX,PLUMBING,1119
05 BRONX,BRONX,HEATING,981
05 BRONX,BRONX,Noise - Street/Sidewalk,924
05 BRONX,BRONX,UNSANITARY CONDITION,885
05 BRONX,BRONX,PAINT/PLASTER,742
05 BRONX,BRONX,Blocked Driveway,613
05 BRONX,BRONX,GENERAL CONSTRUCTION,579
05 BRONX,BRONX,Water System,541
05 BROOKLYN,BROOKLYN,Noise - Residential,2081
05 BROOKLYN,BROOKLYN,Blocked Driveway,1391
05 BROOKLYN,BROOKLYN,HEAT/HOT WATER,1193
05 BROOKLYN,BROOKLYN,Illegal Parking,925
05 BROOKLYN,BROOKLYN,PLUMBING,764
05 BROOKLYN,BROOKLYN,Water System,706
05 BROOKLYN,BROOKLYN,UNSANITARY CONDITION,659
05 BROOKLYN,BROOKLYN,Street Condition,610
05 BROOKLYN,BROOKLYN,Street Light Condition,582
05 BROOKLYN,BROOKLYN,Derelict Vehicles,550
05 MANHATTAN,MANHATTAN,Noise,1059
05 MANHATTAN,MANHATTAN,Homeless Person Assistance,1034
05 MANHATTAN,MANHATTAN,Taxi Complaint,969
05 MANHATTAN,MANHATTAN,Broken Muni Meter,814
05 MANHATTAN,MANHATTAN,Street Condition,672
05 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,610
05 MANHATTAN,MANHATTAN,Illegal Parking,563
05 MANHATTAN,MANHATTAN,Consumer Complaint,483
05 MANHATTAN,MANHATTAN,Water System,450
05 MANHATTAN,MANHATTAN,Noise - Commercial,435
05 QUEENS,QUEENS,Illegal Parking,2441
05 QUEENS,QUEENS,Blocked Driveway,1651
05 QUEENS,QUEENS,Noise - Residential,1389
05 QUEENS,QUEENS,Street Condition,883
05 QUEENS,QUEENS,Request Large Bulky Item Collection,873
05 QUEENS,QUEENS,Street Light Condition,706
05 QUEENS,QUEENS,Water System,662
05 QUEENS,QUEENS,Derelict Vehicle,575
05 QUEENS,QUEENS,Damaged Tree,562
05 QUEENS,QUEENS,HEAT/HOT WATER,536
06 BRONX,BRONX,Noise - Residential,1446
06 BRONX,BRONX,HEAT/HOT WATER,1399
06 BRONX,BRONX,PLUMBING,636
06 BRONX,BRONX,UNSANITARY CONDITION,526
06 BRONX,BRONX,HEATING,445
06 BRONX,BRONX,PAINT/PLASTER,412
06 BRONX,BRONX,GENERAL CONSTRUCTION,369
06 BRONX,BRONX,Noise - Street/Sidewalk,339
06 BRONX,BRONX,Blocked Driveway,301
06 BRONX,BRONX,Water System,280
06 BROOKLYN,BROOKLYN,Illegal Parking,952
06 BROOKLYN,BROOKLYN,Request Large Bulky Item Collection,715
06 BROOKLYN,BROOKLYN,Noise - Residential,713
06 BROOKLYN,BROOKLYN,Street Condition,526
06 BROOKLYN,BROOKLYN,Noise,516
06 BROOKLYN,BROOKLYN,Noise - Commercial,500
06 BROOKLYN,BROOKLYN,Water System,473
06 BROOKLYN,BROOKLYN,Street Light Condition,457
06 BROOKLYN,BROOKLYN,Blocked Driveway,370
06 BROOKLYN,BROOKLYN,Missed Collection (All Materials),341
06 MANHATTAN,MANHATTAN,Noise,1070
06 MANHATTAN,MANHATTAN,Noise - Residential,816
06 MANHATTAN,MANHATTAN,HEAT/HOT WATER,541
06 MANHATTAN,MANHATTAN,Illegal Parking,510
06 MANHATTAN,MANHATTAN,Street Condition,500
06 MANHATTAN,MANHATTAN,Taxi Complaint,459
06 MANHATTAN,MANHATTAN,Noise - Commercial,389
06 MANHATTAN,MANHATTAN,Broken Muni Meter,354
06 MANHATTAN,MANHATTAN,Homeless Person Assistance,251
06 MANHATTAN,MANHATTAN,Water System,241
06 QUEENS,QUEENS,Noise - Residential,699
06 QUEENS,QUEENS,Blocked Driveway,648
06 QUEENS,QUEENS,Illegal Parking,597
06 QUEENS,QUEENS,HEAT/HOT WATER,461
06 QUEENS,QUEENS,Street Condition,393
06 QUEENS,QUEENS,Street Light Condition,328
06 QUEENS,QUEENS,Water System,326
06 QUEENS,QUEENS,Damaged Tree,292
06 QUEENS,QUEENS,Noise,258
06 QUEENS,QUEENS,Sewer,186
07 BRONX,BRONX,Noise - Residential,3262
07 BRONX,BRONX,HEAT/HOT WATER,3022
07 BRONX,BRONX,HEATING,1215
07 BRONX,BRONX,PLUMBING,1040
07 BRONX,BRONX,Noise - Street/Sidewalk,973
07 BRONX,BRONX,UNSANITARY CONDITION,794
07 BRONX,BRONX,PAINT/PLASTER,701
07 BRONX,BRONX,GENERAL CONSTRUCTION,609
07 BRONX,BRONX,Water System,579
07 BRONX,BRONX,Blocked Driveway,566
07 BROOKLYN,BROOKLYN,Noise - Residential,807
07 BROOKLYN,BROOKLYN,Illegal Parking,676
07 BROOKLYN,BROOKLYN,Blocked Driveway,579
07 BROOKLYN,BROOKLYN,HEAT/HOT WATER,538
07 BROOKLYN,BROOKLYN,Street Condition,522
07 BROOKLYN,BROOKLYN,Street Light Condition,491
07 BROOKLYN,BROOKLYN,Water System,387
07 BROOKLYN,BROOKLYN,Traffic Signal Condition,363
07 BROOKLYN,BROOKLYN,Noise,266
07 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,258
07 MANHATTAN,MANHATTAN,Noise - Residential,1617
07 MANHATTAN,MANHATTAN,Noise,1174
07 MANHATTAN,MANHATTAN,HEAT/HOT WATER,1106
07 MANHATTAN,MANHATTAN,Illegal Parking,716
07 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,610
07 MANHATTAN,MANHATTAN,Homeless Person Assistance,562
07 MANHATTAN,MANHATTAN,Street Condition,554
07 MANHATTAN,MANHATTAN,Broken Muni Meter,493
07 MANHATTAN,MANHATTAN,HEATING,383
07 MANHATTAN,MANHATTAN,Taxi Complaint,356
07 QUEENS,QUEENS,Blocked Driveway,1689
07 QUEENS,QUEENS,Illegal Parking,1316
07 QUEENS,QUEENS,Noise - Residential,1250
07 QUEENS,QUEENS,Street Condition,1118
07 QUEENS,QUEENS,Damaged Tree,850
07 QUEENS,QUEENS,Street Light Condition,835
07 QUEENS,QUEENS,Water System,660
07 QUEENS,QUEENS,Building/Use,628
07 QUEENS,QUEENS,HEAT/HOT WATER,625
07 QUEENS,QUEENS,Missed Collection (All Materials),606
08 BRONX,BRONX,Noise - Residential,1336
08 BRONX,BRONX,HEAT/HOT WATER,1165
08 BRONX,BRONX,HEATING,656
08 BRONX,BRONX,Illegal Parking,554
08 BRONX,BRONX,Street Condition,523
08 BRONX,BRONX,Blocked Driveway,417
08 BRONX,BRONX,PLUMBING,381
08 BRONX,BRONX,Noise - Street/Sidewalk,332
08 BRONX,BRONX,Water System,329
08 BRONX,BRONX,UNSANITARY CONDITION,257
08 BRONX,MANHATTAN,HEAT/HOT WATER,99
08 BRONX,MANHATTAN,Noise - Residential,67
08 BRONX,MANHATTAN,UNSANITARY CONDITION,43
08 BRONX,MANHATTAN,PAINT/PLASTER,42
08 BRONX,MANHATTAN,PLUMBING,40
08 BRONX,MANHATTAN,WATER LEAK,27
08 BRONX,MANHATTAN,FLOORING/STAIRS,21
08 BRONX,MANHATTAN,DOOR/WINDOW,21
08 BRONX,MANHATTAN,Illegal Parking,20
08 BRONX,MANHATTAN,ELECTRIC,20
08 BROOKLYN,BROOKLYN,Noise - Residential,1691
08 BROOKLYN,BROOKLYN,HEAT/HOT WATER,1212
08 BROOKLYN,BROOKLYN,PLUMBING,722
08 BROOKLYN,BROOKLYN,HEATING,669
08 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,616
08 BROOKLYN,BROOKLYN,Illegal Parking,579
08 BROOKLYN,BROOKLYN,UNSANITARY CONDITION,484
08 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,473
08 BROOKLYN,BROOKLYN,Blocked Driveway,451
08 BROOKLYN,BROOKLYN,Noise - Commercial,424
08 MANHATTAN,MANHATTAN,Noise,1247
08 MANHATTAN,MANHATTAN,Noise - Residential,882
08 MANHATTAN,MANHATTAN,Street Condition,774
08 MANHATTAN,MANHATTAN,HEAT/HOT WATER,693
08 MANHATTAN,MANHATTAN,Illegal Parking,611
08 MANHATTAN,MANHATTAN,Taxi Complaint,563
08 MANHATTAN,MANHATTAN,Broken Muni Meter,453
08 MANHATTAN,MANHATTAN,Noise - Commercial,447
08 MANHATTAN,MANHATTAN,Water System,349
08 MANHATTAN,MANHATTAN,General Construction/Plumbing,310
08 QUEENS,QUEENS,Noise - Residential,1141
08 QUEENS,QUEENS,Noise - Vehicle,983
08 QUEENS,QUEENS,Illegal Parking,890
08 QUEENS,QUEENS,Blocked Driveway,811
08 QUEENS,QUEENS,Damaged Tree,681
08 QUEENS,QUEENS,Street Condition,642
08 QUEENS,QUEENS,Noise,601
08 QUEENS,QUEENS,Water System,572
08 QUEENS,QUEENS,Street Light Condition,545
08 QUEENS,QUEENS,Missed Collection (All Materials),371
09 BRONX,BRONX,Noise - Residential,2213
09 BRONX,BRONX,HEAT/HOT WATER,1874
09 BRONX,BRONX,Blocked Driveway,985
09 BRONX,BRONX,PLUMBING,648
09 BRONX,BRONX,Street Light Condition,633
09 BRONX,BRONX,Illegal Parking,609
09 BRONX,BRONX,UNSANITARY CONDITION,607
09 BRONX,BRONX,HEATING,577
09 BRONX,BRONX,Noise - Street/Sidewalk,527
09 BRONX,BRONX,Water System,452
09 BROOKLYN,BROOKLYN,HEAT/HOT WATER,1609
09 BROOKLYN,BROOKLYN,Noise - Residential,1532
09 BROOKLYN,BROOKLYN,PLUMBING,774
09 BROOKLYN,BROOKLYN,HEATING,693
09 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,678
09 BROOKLYN,BROOKLYN,UNSANITARY CONDITION,524
09 BROOKLYN,BROOKLYN,Blocked Driveway,490
09 BROOKLYN,BROOKLYN,PAINT/PLASTER,485
09 BROOKLYN,BROOKLYN,Illegal Parking,427
09 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,413
09 MANHATTAN,MANHATTAN,Noise - Residential,2102
09 MANHATTAN,MANHATTAN,HEAT/HOT WATER,1607
09 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,1247
09 MANHATTAN,MANHATTAN,HEATING,648
09 MANHATTAN,MANHATTAN,PLUMBING,594
09 MANHATTAN,MANHATTAN,Water System,503
09 MANHATTAN,MANHATTAN,PAINT/PLASTER,457
09 MANHATTAN,MANHATTAN,UNSANITARY CONDITION,446
09 MANHATTAN,MANHATTAN,GENERAL CONSTRUCTION,337
09 MANHATTAN,MANHATTAN,Illegal Parking,326
09 QUEENS,QUEENS,Blocked Driveway,1995
09 QUEENS,QUEENS,Noise - Residential,1754
09 QUEENS,QUEENS,Illegal Parking,1259
09 QUEENS,QUEENS,Building/Use,679
09 QUEENS,QUEENS,Street Condition,576
09 QUEENS,QUEENS,Water System,533
09 QUEENS,QUEENS,Street Light Condition,476
09 QUEENS,QUEENS,Dirty Conditions,427
09 QUEENS,QUEENS,HEAT/HOT WATER,421
09 QUEENS,QUEENS,Damaged Tree,409
10 BRONX,BRONX,Illegal Parking,932
10 BRONX,BRONX,Noise - Residential,830
10 BRONX,BRONX,Street Light Condition,725
10 BRONX,BRONX,Blocked Driveway,585
10 BRONX,BRONX,HEAT/HOT WATER,429
10 BRONX,BRONX,Street Condition,398
10 BRONX,BRONX,Dirty Conditions,298
10 BRONX,BRONX,Water System,279
10 BRONX,BRONX,Derelict Vehicle,248
10 BRONX,BRONX,Request Large Bulky Item Collection,221
10 BROOKLYN,BROOKLYN,Illegal Parking,1280
10 BROOKLYN,BROOKLYN,Blocked Driveway,848
10 BROOKLYN,BROOKLYN,Request Large Bulky Item Collection,834
10 BROOKLYN,BROOKLYN,HEAT/HOT WATER,764
10 BROOKLYN,BROOKLYN,Noise - Residential,719
10 BROOKLYN,BROOKLYN,Street Condition,522
10 BROOKLYN,BROOKLYN,Street Light Condition,363
10 BROOKLYN,BROOKLYN,Water System,350
10 BROOKLYN,BROOKLYN,Damaged Tree,301
10 BROOKLYN,BROOKLYN,General Construction/Plumbing,273
10 MANHATTAN,MANHATTAN,Noise - Residential,2777
10 MANHATTAN,MANHATTAN,HEAT/HOT WATER,1721
10 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,1533
10 MANHATTAN,MANHATTAN,PLUMBING,667
10 MANHATTAN,MANHATTAN,HEATING,658
10 MANHATTAN,MANHATTAN,UNSANITARY CONDITION,572
10 MANHATTAN,MANHATTAN,Illegal Parking,526
10 MANHATTAN,MANHATTAN,PAINT/PLASTER,435
10 MANHATTAN,MANHATTAN,Noise - Vehicle,358
10 MANHATTAN,MANHATTAN,GENERAL CONSTRUCTION,352
10 QUEENS,QUEENS,Noise - Residential,1422
10 QUEENS,QUEENS,Blocked Driveway,1327
10 QUEENS,QUEENS,Illegal Parking,883
10 QUEENS,QUEENS,Request Large Bulky Item Collection,788
10 QUEENS,QUEENS,Building/Use,708
10 QUEENS,QUEENS,Street Condition,690
10 QUEENS,QUEENS,Sewer,545
10 QUEENS,QUEENS,Street Light Condition,530
10 QUEENS,QUEENS,Damaged Tree,474
10 QUEENS,QUEENS,Derelict Vehicle,463
11 BRONX,BRONX,Noise - Residential,1809
11 BRONX,BRONX,HEAT/HOT WATER,1280
11 BRONX,BRONX,Blocked Driveway,866
11 BRONX,BRONX,Illegal Parking,605
11 BRONX,BRONX,Street Light Condition,593
11 BRONX,BRONX,HEATING,526
11 BRONX,BRONX,PLUMBING,397
11 BRONX,BRONX,Water System,356
11 BRONX,BRONX,Street Condition,335
11 BRONX,BRONX,UNSANITARY CONDITION,295
11 BROOKLYN,BROOKLYN,Illegal Parking,2117
11 BROOKLYN,BROOKLYN,Blocked Driveway,1496
11 BROOKLYN,BROOKLYN,Noise - Residential,903
11 BROOKLYN,BROOKLYN,HEAT/HOT WATER,887
11 BROOKLYN,BROOKLYN,Street Condition,498
11 BROOKLYN,BROOKLYN,Water System,417
11 BROOKLYN,BROOKLYN,Street Light Condition,373
11 BROOKLYN,BROOKLYN,Sidewalk Condition,325
11 BROOKLYN,BROOKLYN,Traffic Signal Condition,308
11 BROOKLYN,BROOKLYN,UNSANITARY CONDITION,306
11 MANHATTAN,MANHATTAN,Noise - Residential,1893
11 MANHATTAN,MANHATTAN,HEAT/HOT WATER,967
11 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,693
11 MANHATTAN,MANHATTAN,Illegal Parking,503
11 MANHATTAN,MANHATTAN,PLUMBING,375
11 MANHATTAN,MANHATTAN,HEATING,311
11 MANHATTAN,MANHATTAN,UNSANITARY CONDITION,307
11 MANHATTAN,MANHATTAN,Noise - Commercial,296
11 MANHATTAN,MANHATTAN,Water System,277
11 MANHATTAN,MANHATTAN,PAINT/PLASTER,257
11 QUEENS,QUEENS,Damaged Tree,745
11 QUEENS,QUEENS,Street Condition,688
11 QUEENS,QUEENS,Request Large Bulky Item Collection,676
11 QUEENS,QUEENS,Street Light Condition,666
11 QUEENS,QUEENS,Illegal Parking,593
11 QUEENS,QUEENS,Water System,515
11 QUEENS,QUEENS,Blocked Driveway,450
11 QUEENS,QUEENS,Sewer,379
11 QUEENS,QUEENS,Sidewalk Condition,344
11 QUEENS,QUEENS,Missed Collection (All Materials),344
12 BRONX,BRONX,Noise - Residential,4676
12 BRONX,BRONX,Blocked Driveway,1610
12 BRONX,BRONX,HEAT/HOT WATER,1457
12 BRONX,BRONX,PLUMBING,680
12 BRONX,BRONX,Illegal Parking,624
12 BRONX,BRONX,Water System,597
12 BRONX,BRONX,UNSANITARY CONDITION,559
12 BRONX,BRONX,HEATING,550
12 BRONX,BRONX,PAINT/PLASTER,447
12 BRONX,BRONX,Street Light Condition,410
12 BROOKLYN,BROOKLYN,Illegal Parking,1381
12 BROOKLYN,BROOKLYN,Blocked Driveway,1140
12 BROOKLYN,BROOKLYN,Noise - Residential,731
12 BROOKLYN,BROOKLYN,Street Condition,711
12 BROOKLYN,BROOKLYN,HEAT/HOT WATER,674
12 BROOKLYN,BROOKLYN,Missed Collection (All Materials),469
12 BROOKLYN,BROOKLYN,Street Light Condition,451
12 BROOKLYN,BROOKLYN,Traffic Signal Condition,406
12 BROOKLYN,BROOKLYN,Water System,400
12 BROOKLYN,BROOKLYN,Sanitation Condition,400
12 MANHATTAN,MANHATTAN,Noise - Residential,4296
12 MANHATTAN,MANHATTAN,HEAT/HOT WATER,3475
12 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,3302
12 MANHATTAN,MANHATTAN,HEATING,1546
12 MANHATTAN,MANHATTAN,PLUMBING,1334
12 MANHATTAN,MANHATTAN,Water System,1134
12 MANHATTAN,MANHATTAN,Noise - Vehicle,1061
