date,open,high,low,close,volume
2025-08-07,72.57,74.28,71.96,73.92,969312
2025-08-08,73.92,75.56,71.99,73.73,604273
2025-08-11,73.73,74.63,72.5,73.55,1541508
2025-08-12,73.55,76.12,71.57,74.7,357699
2025-08-13,74.7,77.85,73.62,77.47,1075714
2025-08-14,77.47,78.67,76.23,76.23,1507070
2025-08-15,76.23,79.95,75.34,77.85,468488
2025-08-18,77.85,78.68,76.41,77.61,1196235
2025-08-19,77.61,80.99,76.39,80.3,910802
2025-08-20,80.3,80.62,77.75,77.85,1323519
2025-08-21,77.85,80.98,77.23,78.3,492517
2025-08-22,78.3,78.32,75.38,77.08,1217199
2025-08-25,77.08,77.9,75.51,77.61,822864
2025-08-26,77.61,77.88,75.64,77.24,343286
2025-08-27,77.24,78.51,74.94,76.61,1452393
2025-08-28,76.61,77.47,75.81,75.95,643764
2025-08-29,75.95,79.13,75.86,78.67,962854
2025-09-01,78.67,79.6,77.56,79.02,656715
2025-09-02,79.02,81.4,76.94,76.99,759325
2025-09-03,76.99,79.06,76.12,77.46,581561
2025-09-04,77.46,80.2,76.65,78.32,1561720
2025-09-05,78.32,79.16,76.23,78.28,623127
2025-09-08,78.28,80.82,77.46,78.83,959621
2025-09-09,78.83,83.41,78.04,83.08,859626
2025-09-10,83.08,85.61,80.13,80.86,600445
2025-09-11,80.86,82.94,80.75,82.29,395837
2025-09-12,82.29,84.4,80.29,83.96,1260559
2025-09-15,83.96,86.74,81.69,81.73,748138
2025-09-16,81.73,85.98,81.73,83.4,1173825
2025-09-17,83.4,84.24,82.14,82.94,751255
2025-09-18,82.94,83.08,82.73,83.0,1543503
2025-09-19,83.0,86.86,80.83,84.65,593401
2025-09-22,84.65,86.4,82.02,82.58,392556
2025-09-23,82.58,83.72,80.66,80.85,1497773
2025-09-24,80.85,82.52,80.61,81.45,851718
2025-09-25,81.45,82.23,79.29,81.18,381624
2025-09-26,81.18,81.91,80.37,81.82,1279054
2025-09-29,81.82,82.69,80.5,81.15,675839
2025-09-30,81.15,83.99,81.0,83.55,731934
2025-10-01,83.55,86.42,83.45,86.4,1289678
2025-10-02,86.4,89.46,86.15,88.61,627010
2025-10-03,88.61,91.58,88.01,88.47,1541466
2025-10-06,88.47,89.07,86.17,87.44,1508686
2025-10-07,87.44,89.22,85.47,88.33,1267879
2025-10-08,88.33,91.55,87.5,89.7,735826
2025-10-09,89.7,91.05,87.1,88.7,430348
2025-10-10,88.7,91.57,88.69,89.68,373006
2025-10-13,89.68,91.34,89.33,90.34,1574924
2025-10-14,90.34,96.69,90.29,94.31,452456
2025-10-15,94.31,96.95,94.29,95.06,897643
2025-10-16,95.06,96.49,93.75,95.25,1279930
2025-10-17,95.25,96.26,91.94,93.4,483879
2025-10-20,93.4,95.05,92.34,94.21,1267345
2025-10-21,94.21,94.49,92.64,93.5,641582
2025-10-22,93.5,97.68,92.56,95.63,833008
2025-10-23,95.63,97.06,94.81,94.88,623853
2025-10-24,94.88,97.45,94.32,95.82,932948
2025-10-27,95.82,96.79,93.68,95.77,1491256
2025-10-28,95.77,97.47,95.2,97.22,1565665
2025-10-29,97.22,100.42,95.84,98.02,802740
2025-10-30,98.02,100.31,97.89,99.33,1531041
2025-10-31,99.33,103.72,98.33,102.44,1117333
2025-11-03,102.44,103.92,101.93,102.79,653740
2025-11-04,102.79,105.15,101.77,103.74,588371
2025-11-05,103.74,105.41,103.4,105.34,726488
2025-11-06,105.34,105.95,102.25,104.3,1026016
2025-11-07,104.3,105.28,103.1,105.07,1141761
2025-11-10,105.07,107.06,104.68,106.46,1213165
2025-11-11,106.46,106.98,104.17,105.22,726699
2025-11-12,105.22,110.41,104.76,109.38,858885
2025-11-13,109.38,116.43,108.86,113.38,1254600
2025-11-14,113.38,114.32,113.25,114.28,1475070
2025-11-17,114.28,115.3,109.25,111.32,915350
2025-11-18,111.32,113.5,111.14,113.39,1030465
2025-11-19,113.39,115.42,109.47,110.89,800971
2025-11-20,110.89,112.89,110.87,112.22,689784
2025-11-21,112.22,112.58,107.07,108.15,1352113
2025-11-24,108.15,110.25,107.99,109.47,490845
2025-11-25,109.47,115.21,109.08,114.07,1506233
2025-11-26,114.07,116.11,112.38,114.13,1117835
2025-11-27,114.13,115.24,113.94,114.61,843695
2025-11-28,114.61,115.89,111.51,113.37,562366
2025-12-01,113.37,114.92,112.19,113.73,486282
2025-12-02,113.73,113.76,111.6,113.53,1469564
2025-12-03,113.53,116.16,113.51,115.77,1394519
2025-12-04,115.77,116.97,114.17,115.27,1028565
2025-12-05,115.27,116.0,112.8,114.19,870689
2025-12-08,114.19,116.04,113.09,115.34,886707
2025-12-09,115.34,118.05,114.46,117.81,1299727
2025-12-10,117.81,118.15,116.51,117.9,558052
2025-12-11,117.9,117.99,116.17,117.05,446475
2025-12-12,117.05,119.77,116.54,118.43,381773
2025-12-15,118.43,118.81,117.73,117.94,979581
2025-12-16,117.94,119.28,114.37,114.84,809885
2025-12-17,114.84,115.97,112.35,115.77,1259747
2025-12-18,115.77,116.08,110.35,111.08,1576794
2025-12-19,111.08,111.23,105.95,106.57,1331244
2025-12-22,106.57,106.97,105.84,106.03,775639
2025-12-23,106.03,106.77,105.26,106.07,1365845
2025-12-24,106.07,106.95,104.08,105.2,1498282
2025-12-25,105.2,106.47,104.14,105.56,376777
2025-12-26,105.56,105.85,104.85,105.5,1519232
2025-12-29,105.5,107.81,102.84,103.86,476149
2025-12-30,103.86,108.29,103.54,106.62,786919
2025-12-31,106.62,109.31,104.44,108.22,462853
