district,population,request_type,response_hours
Riverside,240000,Graffiti,12.7
Riverside,240000,Pothole,19.6
Riverside,240000,Noise,32.9
Riverside,240000,Streetlight out,11.3
Riverside,240000,Streetlight out,7.8
Riverside,240000,Illegal dumping,12.0
Riverside,240000,Noise,8.8
Riverside,240000,Noise,12.4
Riverside,240000,Graffiti,12.1
Riverside,240000,Illegal dumping,20.8
Riverside,240000,Illegal dumping,20.0
Riverside,240000,Noise,8.5
Riverside,240000,Graffiti,17.4
Riverside,240000,Noise,73.4
Riverside,240000,Water leak,30.6
Riverside,240000,Graffiti,40.4
Riverside,240000,Illegal dumping,23.0
Riverside,240000,Noise,5.8
Riverside,240000,Noise,16.0
Riverside,240000,Pothole,17.5
Riverside,240000,Graffiti,23.1
Riverside,240000,Streetlight out,10.7
Riverside,240000,Streetlight out,15.8
Riverside,240000,Water leak,34.5
Riverside,240000,Water leak,101.7
Riverside,240000,Noise,21.3
Riverside,240000,Graffiti,37.4
Riverside,240000,Noise,17.7
Riverside,240000,Graffiti,34.0
Riverside,240000,Water leak,25.2
Riverside,240000,Noise,9.1
Riverside,240000,Noise,7.7
Riverside,240000,Illegal dumping,9.7
Riverside,240000,Noise,6.3
Riverside,240000,Noise,9.0
Riverside,240000,Streetlight out,39.1
Riverside,240000,Pothole,19.8
Riverside,240000,Water leak,12.2
Riverside,240000,Noise,8.8
Riverside,240000,Pothole,46.4
Riverside,240000,Graffiti,30.9
Riverside,240000,Illegal dumping,22.7
Riverside,240000,Water leak,9.7
Riverside,240000,Streetlight out,39.4
Riverside,240000,Pothole,14.7
Riverside,240000,Streetlight out,32.5
Riverside,240000,Streetlight out,19.1
Riverside,240000,Illegal dumping,9.5
Riverside,240000,Water leak,15.0
Riverside,240000,Pothole,14.8
Riverside,240000,Graffiti,14.0
Riverside,240000,Pothole,15.8
Riverside,240000,Streetlight out,25.7
Riverside,240000,Water leak,11.4
Riverside,240000,Water leak,22.5
Riverside,240000,Illegal dumping,31.7
Riverside,240000,Graffiti,28.2
Riverside,240000,Graffiti,29.6
Riverside,240000,Streetlight out,21.1
Riverside,240000,Streetlight out,20.5
Riverside,240000,Pothole,12.8
Riverside,240000,Streetlight out,11.6
Riverside,240000,Illegal dumping,18.6
Riverside,240000,Streetlight out,20.2
Riverside,240000,Noise,14.4
Riverside,240000,Streetlight out,11.3
Riverside,240000,Noise,19.8
Riverside,240000,Graffiti,19.5
Riverside,240000,Water leak,11.3
Riverside,240000,Graffiti,9.0
Riverside,240000,Water leak,21.0
Riverside,240000,Graffiti,19.0
Riverside,240000,Noise,13.5
Riverside,240000,Illegal dumping,14.2
Riverside,240000,Streetlight out,14.9
Riverside,240000,Illegal dumping,5.0
Riverside,240000,Pothole,42.8
Riverside,240000,Illegal dumping,12.3
Riverside,240000,Graffiti,10.9
Riverside,240000,Illegal dumping,15.2
Riverside,240000,Water leak,32.3
Riverside,240000,Water leak,31.7
Riverside,240000,Pothole,27.5
Riverside,240000,Graffiti,7.1
Riverside,240000,Streetlight out,17.8
Riverside,240000,Illegal dumping,17.1
Riverside,240000,Illegal dumping,14.9
Riverside,240000,Pothole,9.8
Riverside,240000,Pothole,7.3
Riverside,240000,Graffiti,12.9
Riverside,240000,Illegal dumping,15.0
Riverside,240000,Illegal dumping,30.0
Riverside,240000,Noise,20.9
Riverside,240000,Noise,45.5
Riverside,240000,Water leak,31.2
Riverside,240000,Water leak,6.4
Riverside,240000,Water leak,31.0
Riverside,240000,Water leak,25.8
Riverside,240000,Illegal dumping,41.2
Riverside,240000,Illegal dumping,17.6
Riverside,240000,Streetlight out,15.4
Riverside,240000,Water leak,13.8
Riverside,240000,Pothole,34.0
Riverside,240000,Streetlight out,16.1
Riverside,240000,Illegal dumping,32.4
Riverside,240000,Water leak,33.8
Riverside,240000,Pothole,36.3
Riverside,240000,Streetlight out,7.8
Riverside,240000,Graffiti,12.1
Riverside,240000,Graffiti,16.4
Riverside,240000,Illegal dumping,32.8
Riverside,240000,Streetlight out,26.4
Riverside,240000,Noise,8.1
Riverside,240000,Pothole,18.4
Riverside,240000,Illegal dumping,36.8
Riverside,240000,Illegal dumping,19.0
Riverside,240000,Illegal dumping,18.6
Riverside,240000,Water leak,20.8
Riverside,240000,Noise,12.7
Riverside,240000,Pothole,18.6
Riverside,240000,Illegal dumping,22.3
Riverside,240000,Pothole,32.1
Riverside,240000,Graffiti,13.7
Riverside,240000,Streetlight out,26.8
Riverside,240000,Graffiti,43.9
Riverside,240000,Streetlight out,9.9
Riverside,240000,Streetlight out,8.8
Riverside,240000,Streetlight out,18.7
Riverside,240000,Streetlight out,11.8
Riverside,240000,Illegal dumping,11.2
Riverside,240000,Streetlight out,25.6
Riverside,240000,Pothole,19.2
Riverside,240000,Graffiti,36.0
Riverside,240000,Pothole,21.8
Riverside,240000,Pothole,39.9
Riverside,240000,Streetlight out,14.4
Riverside,240000,Noise,24.0
Riverside,240000,Streetlight out,15.6
Riverside,240000,Illegal dumping,13.4
Riverside,240000,Graffiti,36.9
Riverside,240000,Graffiti,12.9
Riverside,240000,Pothole,8.7
Riverside,240000,Illegal dumping,24.2
Riverside,240000,Noise,24.0
Riverside,240000,Pothole,42.1
Riverside,240000,Noise,9.2
Riverside,240000,Streetlight out,16.8
Riverside,240000,Illegal dumping,18.1
Riverside,240000,Illegal dumping,14.0
Riverside,240000,Water leak,5.5
Riverside,240000,Pothole,11.9
Riverside,240000,Graffiti,30.6
Riverside,240000,Pothole,33.8
Riverside,240000,Water leak,35.6
Riverside,240000,Graffiti,23.0
Riverside,240000,Streetlight out,8.8
Riverside,240000,Graffiti,8.3
Riverside,240000,Illegal dumping,19.6
Riverside,240000,Water leak,30.5
Riverside,240000,Water leak,18.3
Riverside,240000,Graffiti,24.2
Riverside,240000,Pothole,29.9
Riverside,240000,Noise,25.2
Riverside,240000,Streetlight out,18.1
Riverside,240000,Graffiti,14.3
Riverside,240000,Pothole,19.5
Riverside,240000,Graffiti,10.0
Riverside,240000,Pothole,42.1
Riverside,240000,Streetlight out,20.6
Riverside,240000,Streetlight out,11.0
Riverside,240000,Water leak,21.3
Riverside,240000,Noise,24.6
Riverside,240000,Noise,7.9
Riverside,240000,Water leak,25.6
Riverside,240000,Pothole,17.8
Riverside,240000,Streetlight out,35.1
Riverside,240000,Illegal dumping,8.7
Riverside,240000,Illegal dumping,22.9
Riverside,240000,Noise,12.4
Riverside,240000,Illegal dumping,11.4
Riverside,240000,Pothole,32.1
Riverside,240000,Water leak,6.6
Riverside,240000,Water leak,31.8
Riverside,240000,Pothole,23.4
Riverside,240000,Pothole,15.7
Riverside,240000,Water leak,9.6
Riverside,240000,Noise,11.1
Riverside,240000,Pothole,5.3
Riverside,240000,Noise,21.6
Riverside,240000,Pothole,14.3
Riverside,240000,Noise,13.7
Riverside,240000,Noise,14.4
Riverside,240000,Streetlight out,11.1
Riverside,240000,Streetlight out,9.8
Riverside,240000,Graffiti,37.0
Riverside,240000,Pothole,59.2
Riverside,240000,Pothole,15.6
Riverside,240000,Noise,25.7
Riverside,240000,Illegal dumping,17.6
Riverside,240000,Graffiti,15.6
Riverside,240000,Streetlight out,15.1
Riverside,240000,Water leak,6.0
Riverside,240000,Illegal dumping,7.8
Riverside,240000,Pothole,25.6
Riverside,240000,Pothole,39.9
Riverside,240000,Water leak,38.3
Riverside,240000,Illegal dumping,17.4
Riverside,240000,Illegal dumping,34.3
Riverside,240000,Streetlight out,34.4
Riverside,240000,Water leak,9.7
Riverside,240000,Water leak,12.3
Riverside,240000,Noise,4.8
Riverside,240000,Graffiti,8.9
Riverside,240000,Streetlight out,17.3
Riverside,240000,Pothole,20.0
Riverside,240000,Streetlight out,15.2
Riverside,240000,Streetlight out,14.7
Riverside,240000,Pothole,6.6
Riverside,240000,Graffiti,7.1
Riverside,240000,Noise,35.0
Riverside,240000,Water leak,21.4
Riverside,240000,Illegal dumping,31.4
Riverside,240000,Pothole,13.1
Riverside,240000,Graffiti,12.0
Riverside,240000,Illegal dumping,8.0
Riverside,240000,Illegal dumping,26.7
Riverside,240000,Water leak,6.0
Riverside,240000,Streetlight out,24.0
Riverside,240000,Illegal dumping,15.2
Riverside,240000,Graffiti,9.9
Riverside,240000,Water leak,47.8
Riverside,240000,Water leak,20.1
Riverside,240000,Illegal dumping,13.8
Riverside,240000,Water leak,24.3
Riverside,240000,Graffiti,10.4
Riverside,240000,Water leak,26.1
Riverside,240000,Graffiti,48.0
Riverside,240000,Pothole,21.2
Riverside,240000,Graffiti,9.6
Riverside,240000,Streetlight out,16.3
Riverside,240000,Graffiti,30.5
Riverside,240000,Streetlight out,33.2
Riverside,240000,Graffiti,15.6
Riverside,240000,Water leak,12.9
Riverside,240000,Illegal dumping,13.7
Riverside,240000,Graffiti,11.9
Riverside,240000,Illegal dumping,12.2
Riverside,240000,Illegal dumping,14.4
Riverside,240000,Graffiti,24.3
Riverside,240000,Graffiti,10.0
Riverside,240000,Noise,20.8
Riverside,240000,Graffiti,23.1
Riverside,240000,Streetlight out,52.0
Riverside,240000,Noise,18.8
Riverside,240000,Graffiti,23.6
Riverside,240000,Water leak,17.0
Riverside,240000,Noise,10.6
Riverside,240000,Pothole,13.7
Riverside,240000,Water leak,7.7
Riverside,240000,Noise,7.2
Riverside,240000,Illegal dumping,24.7
Riverside,240000,Pothole,25.3
Riverside,240000,Graffiti,6.7
Riverside,240000,Streetlight out,27.3
Riverside,240000,Graffiti,13.6
Riverside,240000,Graffiti,18.7
Riverside,240000,Illegal dumping,12.7
Riverside,240000,Streetlight out,35.7
Riverside,240000,Water leak,7.0
Riverside,240000,Noise,16.8
Riverside,240000,Streetlight out,10.8
Riverside,240000,Illegal dumping,14.3
Riverside,240000,Streetlight out,28.2
Riverside,240000,Pothole,13.1
Riverside,240000,Graffiti,4.1
Riverside,240000,Pothole,23.2
Riverside,240000,Illegal dumping,25.9
Riverside,240000,Graffiti,11.8
Riverside,240000,Pothole,33.7
Riverside,240000,Pothole,17.7
Riverside,240000,Noise,9.2
Riverside,240000,Water leak,21.5
Riverside,240000,Graffiti,16.6
Riverside,240000,Pothole,8.3
Riverside,240000,Pothole,13.1
Riverside,240000,Noise,7.7
Riverside,240000,Pothole,24.9
Riverside,240000,Noise,24.0
Riverside,240000,Noise,42.5
Riverside,240000,Noise,16.0
Riverside,240000,Graffiti,8.1
Riverside,240000,Water leak,62.9
Riverside,240000,Pothole,17.8
Riverside,240000,Graffiti,20.4
Riverside,240000,Graffiti,21.3
Riverside,240000,Water leak,18.1
Riverside,240000,Streetlight out,33.9
Riverside,240000,Streetlight out,6.0
Riverside,240000,Water leak,26.4
Riverside,240000,Pothole,27.7
Riverside,240000,Streetlight out,36.4
Riverside,240000,Illegal dumping,18.5
Riverside,240000,Pothole,26.8
Riverside,240000,Noise,8.3
Riverside,240000,Streetlight out,15.4
Riverside,240000,Noise,9.1
Riverside,240000,Water leak,28.0
Riverside,240000,Illegal dumping,17.3
Riverside,240000,Streetlight out,17.0
Riverside,240000,Pothole,20.2
Riverside,240000,Water leak,12.6
Riverside,240000,Pothole,22.0
Riverside,240000,Water leak,32.9
Riverside,240000,Pothole,20.4
Riverside,240000,Water leak,18.0
Riverside,240000,Pothole,22.0
Riverside,240000,Water leak,13.2
Riverside,240000,Illegal dumping,25.5
Riverside,240000,Streetlight out,23.0
Riverside,240000,Streetlight out,18.6
Old Quarter,32000,Noise,24.3
Old Quarter,32000,Illegal dumping,92.0
Old Quarter,32000,Illegal dumping,35.9
Old Quarter,32000,Pothole,40.7
Old Quarter,32000,Water leak,50.9
Old Quarter,32000,Pothole,78.1
Old Quarter,32000,Streetlight out,28.7
Old Quarter,32000,Streetlight out,23.7
Old Quarter,32000,Water leak,14.6
Old Quarter,32000,Illegal dumping,31.1
Old Quarter,32000,Graffiti,23.6
Old Quarter,32000,Noise,19.5
Old Quarter,32000,Streetlight out,18.6
Old Quarter,32000,Pothole,7.3
Old Quarter,32000,Water leak,68.0
Old Quarter,32000,Noise,22.9
Old Quarter,32000,Graffiti,14.7
Old Quarter,32000,Water leak,13.2
Old Quarter,32000,Illegal dumping,42.1
Old Quarter,32000,Graffiti,44.1
Old Quarter,32000,Noise,19.0
Old Quarter,32000,Graffiti,79.7
Old Quarter,32000,Pothole,32.4
Old Quarter,32000,Graffiti,22.9
Old Quarter,32000,Pothole,24.1
Old Quarter,32000,Streetlight out,18.3
Old Quarter,32000,Water leak,37.5
Old Quarter,32000,Pothole,20.8
Old Quarter,32000,Graffiti,15.1
Old Quarter,32000,Pothole,9.3
Old Quarter,32000,Illegal dumping,41.9
Old Quarter,32000,Water leak,35.2
Old Quarter,32000,Water leak,30.5
Old Quarter,32000,Pothole,65.4
Old Quarter,32000,Graffiti,51.0
Old Quarter,32000,Streetlight out,9.4
Old Quarter,32000,Graffiti,95.1
Old Quarter,32000,Illegal dumping,51.4
Old Quarter,32000,Water leak,39.9
Old Quarter,32000,Graffiti,34.9
Old Quarter,32000,Streetlight out,27.6
Old Quarter,32000,Illegal dumping,19.2
Old Quarter,32000,Water leak,29.3
Old Quarter,32000,Noise,63.0
Old Quarter,32000,Streetlight out,14.1
Old Quarter,32000,Noise,18.4
Old Quarter,32000,Pothole,44.7
Old Quarter,32000,Pothole,19.4
Old Quarter,32000,Graffiti,43.1
Old Quarter,32000,Graffiti,57.5
Old Quarter,32000,Water leak,16.5
Old Quarter,32000,Illegal dumping,25.6
Old Quarter,32000,Pothole,31.5
Old Quarter,32000,Graffiti,41.9
Old Quarter,32000,Pothole,29.5
Old Quarter,32000,Water leak,44.1
Old Quarter,32000,Illegal dumping,60.4
Old Quarter,32000,Streetlight out,44.4
Old Quarter,32000,Graffiti,42.3
Old Quarter,32000,Water leak,35.9
Old Quarter,32000,Noise,14.8
Old Quarter,32000,Water leak,25.1
Old Quarter,32000,Illegal dumping,32.0
Old Quarter,32000,Graffiti,38.9
Old Quarter,32000,Streetlight out,128.5
Old Quarter,32000,Streetlight out,24.3
Old Quarter,32000,Pothole,63.5
Old Quarter,32000,Graffiti,48.4
Old Quarter,32000,Illegal dumping,24.2
Old Quarter,32000,Illegal dumping,23.0
Old Quarter,32000,Pothole,37.2
Old Quarter,32000,Graffiti,42.5
Old Quarter,32000,Noise,39.8
Old Quarter,32000,Pothole,13.1
Old Quarter,32000,Water leak,27.9
Old Quarter,32000,Illegal dumping,19.6
Old Quarter,32000,Noise,45.8
Old Quarter,32000,Illegal dumping,14.5
Old Quarter,32000,Pothole,23.3
Old Quarter,32000,Pothole,45.4
Old Quarter,32000,Streetlight out,15.2
Old Quarter,32000,Streetlight out,44.6
Old Quarter,32000,Graffiti,45.4
Old Quarter,32000,Noise,20.1
Old Quarter,32000,Pothole,33.1
Old Quarter,32000,Graffiti,15.0
Old Quarter,32000,Pothole,46.1
Old Quarter,32000,Illegal dumping,29.5
Old Quarter,32000,Graffiti,55.7
Old Quarter,32000,Streetlight out,80.1
Old Quarter,32000,Water leak,34.3
Old Quarter,32000,Graffiti,29.3
Old Quarter,32000,Noise,11.9
Old Quarter,32000,Graffiti,37.4
Old Quarter,32000,Streetlight out,40.5
Old Quarter,32000,Water leak,23.2
Old Quarter,32000,Water leak,12.9
Old Quarter,32000,Streetlight out,30.6
Old Quarter,32000,Illegal dumping,18.6
Old Quarter,32000,Streetlight out,24.5
Old Quarter,32000,Noise,19.9
Old Quarter,32000,Illegal dumping,33.8
Old Quarter,32000,Illegal dumping,30.5
Old Quarter,32000,Water leak,30.3
Old Quarter,32000,Pothole,36.2
Old Quarter,32000,Illegal dumping,35.2
Old Quarter,32000,Streetlight out,11.1
Old Quarter,32000,Pothole,72.1
Old Quarter,32000,Water leak,63.1
Old Quarter,32000,Noise,13.8
Old Quarter,32000,Pothole,85.5
Old Quarter,32000,Pothole,27.1
Old Quarter,32000,Noise,33.1
Old Quarter,32000,Water leak,22.6
Old Quarter,32000,Noise,18.8
Old Quarter,32000,Water leak,31.1
Old Quarter,32000,Illegal dumping,15.9
Old Quarter,32000,Pothole,45.1
Old Quarter,32000,Graffiti,64.3
Old Quarter,32000,Noise,32.8
Old Quarter,32000,Graffiti,26.0
Old Quarter,32000,Pothole,22.3
Old Quarter,32000,Streetlight out,22.3
Old Quarter,32000,Noise,30.4
Old Quarter,32000,Pothole,24.6
Old Quarter,32000,Streetlight out,22.8
Old Quarter,32000,Streetlight out,38.6
Old Quarter,32000,Water leak,8.6
Old Quarter,32000,Water leak,21.6
Old Quarter,32000,Graffiti,16.8
Old Quarter,32000,Illegal dumping,22.7
Old Quarter,32000,Streetlight out,26.6
Old Quarter,32000,Streetlight out,28.4
Old Quarter,32000,Water leak,25.8
Old Quarter,32000,Streetlight out,38.6
Old Quarter,32000,Water leak,10.2
Old Quarter,32000,Water leak,17.6
Old Quarter,32000,Graffiti,24.3
Old Quarter,32000,Water leak,36.1
Old Quarter,32000,Streetlight out,59.5
Old Quarter,32000,Illegal dumping,27.8
Old Quarter,32000,Water leak,91.2
Old Quarter,32000,Water leak,21.2
Old Quarter,32000,Graffiti,25.7
Old Quarter,32000,Graffiti,42.7
Old Quarter,32000,Water leak,24.1
Old Quarter,32000,Pothole,30.0
Old Quarter,32000,Graffiti,25.8
Old Quarter,32000,Noise,40.2
Old Quarter,32000,Streetlight out,25.6
Old Quarter,32000,Water leak,59.3
Old Quarter,32000,Pothole,31.9
Old Quarter,32000,Streetlight out,22.8
Old Quarter,32000,Pothole,46.8
Old Quarter,32000,Pothole,29.0
Old Quarter,32000,Streetlight out,18.8
Old Quarter,32000,Illegal dumping,23.1
Old Quarter,32000,Streetlight out,27.2
Old Quarter,32000,Illegal dumping,48.4
Old Quarter,32000,Illegal dumping,57.3
Old Quarter,32000,Pothole,45.5
Old Quarter,32000,Graffiti,34.0
Old Quarter,32000,Illegal dumping,36.0
Old Quarter,32000,Noise,17.7
Old Quarter,32000,Pothole,22.7
Old Quarter,32000,Illegal dumping,31.1
Old Quarter,32000,Pothole,20.1
Old Quarter,32000,Streetlight out,49.2
Old Quarter,32000,Streetlight out,28.5
Old Quarter,32000,Streetlight out,12.3
Old Quarter,32000,Streetlight out,15.5
Old Quarter,32000,Streetlight out,30.3
Old Quarter,32000,Streetlight out,35.9
Old Quarter,32000,Streetlight out,20.3
Old Quarter,32000,Pothole,17.7
Old Quarter,32000,Illegal dumping,32.5
Old Quarter,32000,Pothole,17.8
Old Quarter,32000,Streetlight out,13.7
Old Quarter,32000,Graffiti,112.7
Old Quarter,32000,Streetlight out,14.1
Old Quarter,32000,Streetlight out,37.5
Old Quarter,32000,Illegal dumping,39.1
Old Quarter,32000,Pothole,38.3
Old Quarter,32000,Water leak,23.3
Old Quarter,32000,Illegal dumping,19.6
Old Quarter,32000,Noise,26.5
Old Quarter,32000,Water leak,14.8
Old Quarter,32000,Streetlight out,26.0
Old Quarter,32000,Illegal dumping,16.6
Old Quarter,32000,Water leak,35.5
Old Quarter,32000,Pothole,15.4
Old Quarter,32000,Noise,34.8
Harbourview,120000,Pothole,22.9
Harbourview,120000,Illegal dumping,39.6
Harbourview,120000,Illegal dumping,40.7
Harbourview,120000,Pothole,14.6
Harbourview,120000,Pothole,17.8
Harbourview,120000,Illegal dumping,19.2
Harbourview,120000,Noise,24.1
Harbourview,120000,Illegal dumping,14.9
Harbourview,120000,Noise,19.3
Harbourview,120000,Noise,17.8
Harbourview,120000,Illegal dumping,25.8
Harbourview,120000,Water leak,15.3
Harbourview,120000,Illegal dumping,11.6
Harbourview,120000,Illegal dumping,14.8
Harbourview,120000,Pothole,12.6
Harbourview,120000,Water leak,10.3
Harbourview,120000,Water leak,20.1
Harbourview,120000,Noise,9.2
Harbourview,120000,Pothole,10.3
Harbourview,120000,Pothole,19.9
Harbourview,120000,Graffiti,20.8
Harbourview,120000,Illegal dumping,8.2
Harbourview,120000,Illegal dumping,15.8
Harbourview,120000,Graffiti,9.2
Harbourview,120000,Water leak,21.8
Harbourview,120000,Streetlight out,18.2
Harbourview,120000,Streetlight out,20.2
Harbourview,120000,Pothole,20.2
Harbourview,120000,Graffiti,34.6
Harbourview,120000,Pothole,24.7
Harbourview,120000,Illegal dumping,19.2
Harbourview,120000,Pothole,11.7
Harbourview,120000,Streetlight out,24.7
Harbourview,120000,Water leak,23.5
Harbourview,120000,Graffiti,13.0
Harbourview,120000,Illegal dumping,10.7
Harbourview,120000,Noise,19.6
Harbourview,120000,Graffiti,55.8
Harbourview,120000,Graffiti,15.7
Harbourview,120000,Pothole,38.5
Harbourview,120000,Illegal dumping,24.4
Harbourview,120000,Illegal dumping,27.7
Harbourview,120000,Streetlight out,17.0
Harbourview,120000,Graffiti,24.4
Harbourview,120000,Noise,11.3
Harbourview,120000,Water leak,38.4
Harbourview,120000,Noise,14.5
Harbourview,120000,Graffiti,60.0
Harbourview,120000,Graffiti,40.9
Harbourview,120000,Water leak,13.8
Harbourview,120000,Water leak,18.5
Harbourview,120000,Water leak,17.3
Harbourview,120000,Graffiti,53.3
Harbourview,120000,Graffiti,44.5
Harbourview,120000,Pothole,48.1
Harbourview,120000,Noise,2.6
Harbourview,120000,Noise,11.8
Harbourview,120000,Water leak,13.0
Harbourview,120000,Streetlight out,16.7
Harbourview,120000,Graffiti,6.4
Harbourview,120000,Water leak,26.4
Harbourview,120000,Graffiti,21.8
Harbourview,120000,Graffiti,30.3
Harbourview,120000,Water leak,41.2
Harbourview,120000,Water leak,8.3
Harbourview,120000,Streetlight out,14.2
Harbourview,120000,Streetlight out,22.1
Harbourview,120000,Streetlight out,6.2
Harbourview,120000,Illegal dumping,30.2
Harbourview,120000,Noise,26.2
Harbourview,120000,Streetlight out,14.0
Harbourview,120000,Water leak,19.9
Harbourview,120000,Pothole,19.0
Harbourview,120000,Noise,36.7
Harbourview,120000,Pothole,8.1
Harbourview,120000,Illegal dumping,14.6
Harbourview,120000,Noise,6.8
Harbourview,120000,Water leak,9.7
Harbourview,120000,Noise,19.3
Harbourview,120000,Illegal dumping,21.4
Harbourview,120000,Water leak,17.3
Harbourview,120000,Streetlight out,36.6
Harbourview,120000,Water leak,13.9
Harbourview,120000,Streetlight out,12.7
Harbourview,120000,Streetlight out,29.5
