"maprojid","magencyacro","magencyname","typecategory","totalplannedcommit","commit_total","spent_total"
"856CO294BOIL","DCAS","Department of Citywide Administrative Services","Fixed Asset","0","19145.05","364813.93"
"850HLDNAIDSE","DDC","Department of Design and Construction","Lump Sum","0","0","805977"
"850HLDNAPCHA","DDC","Department of Design and Construction","Fixed Asset","0","0","0"
"856PWCN900","DCAS","Department of Citywide Administrative Services","ITT, Vehicles, and Equipment","300000","0","0"
"850SE-793","DDC","Department of Design and Construction","Fixed Asset","388000","6442442.08","67197777.09"
"801ROCKBULK","SBS","Department of Small Business Services","Fixed Asset","0","0.00","6540772.73"
"816HL82DATAW","DOHMH","Department of Health and Mental Hygiene","ITT, Vehicles, and Equipment","0","2574.97","1879305.64"
"111NYPD5RTCC","UK","Unknown","Fixed Asset","0","0.11","21656718.13"
"801BNYINF-SP","BNY","Brooklyn Navy Yard","Fixed Asset","0","0","0"
"057FDNY6EMSC","FDNY","Fire Department",,"24372000","17740000","2260000"
"856CO305REHB","DCAS","Department of Citywide Administrative Services","Fixed Asset","1022000","815402.63","31249038.31"
"057FR109BF14","FDNY","Fire Department",,"0","0","0"
"039LQ122-SAC","QPL","Queens Borough Public Library","ITT, Vehicles, and Equipment","0","0","68747"
"850HL82KNJSW","DDC","Department of Design and Construction","Fixed Asset","0","0","252912"
"801BNYINF-WF","BNY","Brooklyn Navy Yard","Fixed Asset","64524000","0.00","16806642.53"
"111FISA4ADC","UK","Unknown","ITT, Vehicles, and Equipment","0","0.00","9246246.03"
"850SE-853","DDC","Department of Design and Construction","Lump Sum","100000","9589126.42","42787934.94"
"856DAVIDCC","DCAS","Department of Citywide Administrative Services","Fixed Asset","750000","0","0"
"856PWD998GLP","DCAS","Department of Citywide Administrative Services","ITT, Vehicles, and Equipment","0","0","0"
"856PWD998WWC","DCAS","Department of Citywide Administrative Services","Lump Sum","0","0","0"
"801DTBKWSPK","SBS","Department of Small Business Services","Fixed Asset","619000","1270666.85","16262311.34"
"801EASTPLAZA","SBS","Department of Small Business Services","Fixed Asset","0","0","0"
"057SANDHM246","FDNY","Fire Department",,"45000","316710.75","146245.44"
"856E14-0002","DCAS","Department of Citywide Administrative Services","ITT, Vehicles, and Equipment","0","1489736.86","4274605.05"
"801HARLEMRY","SBS","Department of Small Business Services","Fixed Asset","0","0","0"
"801HARLESPL","SBS","Department of Small Business Services","Fixed Asset","0","0.00","7250156.63"
"801HLKNCEV","SBS","Department of Small Business Services","Fixed Asset","103000","501431","0"
"801METBIDWAY","SBS","Department of Small Business Services","Fixed Asset","0","0.00","409536.51"
"850HLDNNYM40","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","0"
"068TRADESHOP","ACS","Administration for Children's Services",,"665000","0","0"
"068VBGC001","ACS","Administration for Children's Services",,"5000000","0","0"
"068VBGC002","ACS","Administration for Children's Services",,"8300000","0","0"
"068VBGC003","ACS","Administration for Children's Services",,"5000000","0","0"
"850HLPRESPAX","DDC","Department of Design and Construction","Fixed Asset","0","0","0"
"801LAMARQUE4","SBS","Department of Small Business Services","Fixed Asset","0","0.00","155440.43"
"801NWBURGFL","SBS","Department of Small Business Services","Fixed Asset","0","0.00","2247666.49"
"126PV112ADA","DCLA","Department of Cultural Affairs","Fixed Asset","0","0","0"
"126PV939-SSI","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","57000","28875.60","22121.88"
"126PV196IRLT","DCLA","Department of Cultural Affairs","Fixed Asset","0","0.00","96399.75"
"801PWSAMFIEH","SBS","Department of Small Business Services","Fixed Asset","0","0","1900599"
"801QNSPLGA","SBS","Department of Small Business Services","Fixed Asset","0","0","2435204"
"801REDHOOK","SBS","Department of Small Business Services","Fixed Asset","2526000","4400952.61","17065418.80"
"856PW77MU8EL","DCAS","Department of Citywide Administrative Services","Fixed Asset","29000","206413.45","14198991.63"
"801SAND3705","SBS","Department of Small Business Services","Fixed Asset","2013000","3269872.29","94681464.62"
"801SSSLUMP","SBS","Department of Small Business Services","Lump Sum","974000","0","0"
"856PW310FAN","DCAS","Department of Citywide Administrative Services","Fixed Asset","0","107275.00","177028.85"
"856PW322PLAN","DCAS","Department of Citywide Administrative Services","Fixed Asset","929000","5211066.16","118546892.18"
"827SANDQ14EL","DSNY","Department of Sanitation","Fixed Asset","74000","283394.17","4389694.37"
"806HAM15JFSR","HPD","Housing Preservation and Development","ITT, Vehicles, and Equipment","86000","0.0","985008.3"
"801BATBEYOND","SBS","Department of Small Business Services","Fixed Asset","1566000","3078816.20","125559362.11"
"801BCTPIER11","SBS","Department of Small Business Services","Fixed Asset","0","61237.65","877082.95"
"072C117CIBS","DOC","Department of Correction",,"200000","0","0"
"819ACEHHC407","HHC","Health and Hospitals Corporation","Fixed Asset","76000","0.00","8915721.73"
"826CSO-GC-SP","DEP","Department of Environmental Protection","Lump Sum","116000","44984.11","1083689.76"
"826GI-NYCHA","DEP","Department of Environmental Protection","Fixed Asset","8000","1843544.22","7092405.09"
"826HP-242-L","DEP","Department of Environmental Protection","Fixed Asset","4600000","3899900","0"
"072C75ESUCP","DOC","Department of Correction",,"0","219732.67","241191.9"
"096HR120AHR8","HRA","Human Resources Administration",,"5300000","0","0"
"096HR120AHRA","HRA","Human Resources Administration",,"3700000","0","0"
"841HWQF031C","DOT","Department of Transportation","ITT, Vehicles, and Equipment","250000","11719.24","85850.76"
"096HR120AZRE","HRA","Human Resources Administration",,"3777000","0","0"
"096HR120BAIT","HRA","Human Resources Administration",,"11000","185026.00","1252821.69"
"841HWQF2002V","DOT","Department of Transportation","ITT, Vehicles, and Equipment","236000","39218.00","1360505.64"
"126PV667QCLS","DCLA","Department of Cultural Affairs","Lump Sum","0","0","0"
"841JAMASTPLZ","DOT","Department of Transportation","Lump Sum","4010000","196188.42","10485502.85"
"801P-500LEMO","SBS","Department of Small Business Services","Fixed Asset","0","0","0"
"841TFCPARKLG","DOT","Department of Transportation","Fixed Asset","829000","10226382.97","26285453.58"
"856PW340GEN","DCAS","Department of Citywide Administrative Services","ITT, Vehicles, and Equipment","36000","0","0"
"846P-107PPV1","DPR","Department of Parks and Recreation","Fixed Asset","364000","17355.49","772388.78"
"801ROCKOUT","SBS","Department of Small Business Services","Fixed Asset","0","0.00","3784521.88"
"801ROOSEDOCK","SBS","Department of Small Business Services","Fixed Asset","0","0","0"
"801SANDSMC","SBS","Department of Small Business Services","Fixed Asset","14974000","5326820.72","12578112.37"
"801SAND6701","SBS","Department of Small Business Services","ITT, Vehicles, and Equipment","3227000","666223.79","13370145.13"
"801SCHOOLSA","SBS","Department of Small Business Services","Lump Sum","2076000","0","0"
"846P-102HNT2","DPR","Department of Parks and Recreation","Fixed Asset","330000","54732.7","83267.3"
"850PV467SRA1","DDC","Department of Design and Construction","Fixed Asset","0","0","6372000"
"850PV655QCFM","DDC","Department of Design and Construction","Fixed Asset","0","16462.70","3532987.67"
"850PW3171C","DDC","Department of Design and Construction","Fixed Asset","26552000","0","9000"
"846P-1KNGSBR","DPR","Department of Parks and Recreation","Fixed Asset","31000","113624.93","1184870.16"
"111CITY6STAG","UK","Unknown",,"1738000",,
"841W125STLG","DOT","Department of Transportation","Fixed Asset","0","0.0","1653911.6"
"856PW77115CH","DCAS","Department of Citywide Administrative Services","Fixed Asset","3731000","0","0"
"111CJRI3MDA3","UK","Unknown",,"7241000","0.00","387412.98"
"111CJRI3QDA2","UK","Unknown",,"135000","0","341613"
"111CJRI3SNP4","UK","Unknown",,"965000","0","0"
"111CJRI5RLTY","UK","Unknown",,"13500000","0","0"
"111CJRI5TGLS","UK","Unknown",,"3400000","0","0"
"856PW77207EL","DCAS","Department of Citywide Administrative Services","Fixed Asset","9831000","0","0"
"111DOR6AKAMA","UK","Unknown",,"472000","0","471614"
"816HL82DHEHR","DOHMH","Department of Health and Mental Hygiene","Fixed Asset","0","0.00","4242983.97"
"81913200573","HHC","Health and Hospitals Corporation","Fixed Asset","0","0","0"
"81926201051","HHC","Health and Hospitals Corporation","ITT, Vehicles, and Equipment","29000","0","0"
"846P-301BURL","DPR","Department of Parks and Recreation","Fixed Asset","424000","0.00","10143819.73"
"126PV467YARF","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","0","0","0"
"056POD50ELGE","NYPD","Police Department","ITT, Vehicles, and Equipment","691000","29274.25","45757.25"
"111MOCJ6CONN","UK","Unknown",,"4120000","0","0"
"841C5586","DOT","Department of Transportation","ITT, Vehicles, and Equipment","12074000","412791.80","1754314.15"
"841C5588","DOT","Department of Transportation","ITT, Vehicles, and Equipment","8050000","0","0"
"841HB1070HR","DOT","Department of Transportation","Fixed Asset","0","220637.80","14095368.52"
"111PO163-DAS","UK","Unknown",,"49456000","1.08","46903377.46"
"111PO185-42","UK","Unknown",,"0","0","497406"
"111PO185-5C","UK","Unknown",,"0","0","108500"
"111PO187PC10","UK","Unknown",,"0","0","0"
"801SANDBNYWF","BNY","Brooklyn Navy Yard",,"92000","279398.7","0"
"042HC036-020","CUNY","City University of New York",,"0","0","0"
"850HL82JHMC","DDC","Department of Design and Construction","Fixed Asset","0","0.0","1364200.3"
"850BED-784","DDC","Department of Design and Construction","Lump Sum","247000","5671546.67","32897577.15"
"042JJ001-024","CUNY","City University of New York",,"125000","0","0"
"042JJ001-025","CUNY","City University of New York",,"240000","0","0"
"042LM021-012","CUNY","City University of New York",,"80000","402361.00","1475954.07"
"111PO-D185B5","UK","Unknown",,"0","0.0","43092.6"
"111PO-DRONE","UK","Unknown",,"150000","0","0"
"850HL82STMAR","DDC","Department of Design and Construction",,"0","0","0"
"042KG037-015","CUNY","City University of New York",,"7500000","0","0"
"850HL99NYHQ","DDC","Department of Design and Construction","Fixed Asset","0","0","0"
"850HL99NYUDC","DDC","Department of Design and Construction","Fixed Asset","0","0","0"
"850HL82AIDSC","DDC","Department of Design and Construction","Lump Sum","0","0","58052"
"126PV018-RTN","DCLA","Department of Cultural Affairs",,"0","0","0"
"126PV01WOAP","DCLA","Department of Cultural Affairs",,"250000","0","0"
"850BED-776","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","7907000","32494058.48","64679940.67"
"850HLQNMTS03","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","348000","0","0"
"850HLQNPLANN","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","0"
"806RAMALG","HPD","Housing Preservation and Development","Lump Sum","1000000","0","0"
"846P-311TURF","DPR","Department of Parks and Recreation","Fixed Asset","0","16549.50","2761136.71"
"846P-311WITE","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","3745456.91"
"072C75GRVRFW","DOC","Department of Correction","Fixed Asset","0","260678.31","656256.69"
"126PV205LOAD","DCLA","Department of Cultural Affairs",,"325000","325000","0"
"126PV205PAIR","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","300000","0","0"
"126PV205TRM3","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","2000000","1828000","0"
"126PV205VEH3","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","1000","0","320068"
"126PV222-AU1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","23000","0.00","223988.52"
"126PV222JIT2","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","11000","0","83296"
"126PV235-PH1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","0","0","0"
"126PV235VEH1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","230000","0","0"
"126PV236VEH2","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","230000","0","0"
"126PV236VEHS","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","108000","621818","0"
"126PV241-IT2","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","0","0","0"
"126PV250LGT1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","55000","0","0"
"126PV256MTC6","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","364000","0","0"
"126PV256-RET","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","37000","0","0"
"126PV262BCM1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","157000","0","0"
"126PV264-AV1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","725000","0","0"
"126PV264BAM2","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","1300000","0","0"
"126PV266MB-1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","536000","0","0"
"126PV274PROJ","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","227000","178377.55","47887.76"
"126PV274WALL","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","0","0","207746"
"126PV279NCC1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","252000","0","0"
"126PV290SIGN","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","950000","0","0"
"126PV291-NM4","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","0","0","0"
"126PV291QIT1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","102000","0","0"
"126PV330-IT1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","112000","0","0"
"850MED-597","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","14986000","2000.00","172343.95"
"042LM018-009","CUNY","City University of New York","ITT, Vehicles, and Equipment","1000","0.00","42734.44"
"850HL82SIUH","DDC","Department of Design and Construction","Fixed Asset","0","0.00","4286657.79"
"126PV219-HLD","DCLA","Department of Cultural Affairs",,"0","0","0"
"850HLDN22EMR","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","0"
"850MED-616","DDC","Department of Design and Construction","Fixed Asset","0","45863.18","349982.29"
"850HLDN24MR2","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","0"
"850HLDN28LIJ","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","0"
"850HLDN41REP","DDC","Department of Design and Construction","Lump Sum","0","0","292682"
"816HL82EHRHC","DOHMH","Department of Health and Mental Hygiene","Fixed Asset","5051000","77719.75","941838.68"
"801SIWHEEL","SBS","Department of Small Business Services",,"1000000","0","0"
"801SKYPORT","SBS","Department of Small Business Services","Fixed Asset","3637000","778086.85","1584106.80"
"801SOLAR2","SBS","Department of Small Business Services","Lump Sum","3286000","125579.71","15569997.29"
"806HAM06MHEL","HPD","Housing Preservation and Development","Fixed Asset","267000","12568.21","2217084.58"
"126PV341CAR2","DCLA","Department of Cultural Affairs",,"4511000","0","0"
"126PV341-HLD","DCLA","Department of Cultural Affairs",,"0","0","0"
"126PV341-RES","DCLA","Department of Cultural Affairs",,"4132000","0","0"
"126PV364HOLD","DCLA","Department of Cultural Affairs",,"0","0","0"
"126PV429-0F2","DCLA","Department of Cultural Affairs",,"3263000","0","0"
"126PV330PH2","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","74000","0","0"
"126PV333AUD1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","143000","0","0"
"126PV333PRG4","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","143000","0","0"
"126PV345-IT1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","62000","0","0"
"126PV464-PAV","DCLA","Department of Cultural Affairs",,"1600000","0","0"
"126PV467DBCD","DCLA","Department of Cultural Affairs",,"839000","0","0"
"126PV467-IT4","DCLA","Department of Cultural Affairs",,"0","0","0"
"126PV467PCT2","DCLA","Department of Cultural Affairs",,"0","0","0"
"126PV717-IT1","DCLA","Department of Cultural Affairs",,"0","0","0"
"126PV767RTF5","DCLA","Department of Cultural Affairs",,"148000","0","0"
"126PV364AUD1","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","1100000","0","0"
"801BAMNSITEA","SBS","Department of Small Business Services",,"187000","0.00","2199121.86"
"801AGDELMCOR","SBS","Department of Small Business Services",,"510000","0","0"
"801BATPLUGIN","SBS","Department of Small Business Services",,"0","0","0"
"841HBX156","DOT","Department of Transportation","Fixed Asset","60055000","3336371.17","1848212.92"
"072C75NICA/C","DOC","Department of Correction","Fixed Asset","0","161200.28","8402047.90"
"801FOODBANK6","SBS","Department of Small Business Services",,"500000","0","0"
"850HLKNBROKE","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","3000","0.00","503462.84"
"801BOATROCK","SBS","Department of Small Business Services",,"0","0","982550"
