county_fips,county,state,incident_type,severity
39003,"Allen County, OH",OH,Road obstruction,Severe
39003,"Allen County, OH",OH,Downed line,Severe
39003,"Allen County, OH",OH,Water main,Severe
39003,"Allen County, OH",OH,Signal outage,Severe
39003,"Allen County, OH",OH,Debris,Severe
39003,"Allen County, OH",OH,Flooding,Severe
39003,"Allen County, OH",OH,Road obstruction,Minor
39003,"Allen County, OH",OH,Downed line,Minor
39003,"Allen County, OH",OH,Water main,Minor
39003,"Allen County, OH",OH,Signal outage,Minor
39003,"Allen County, OH",OH,Debris,Minor
39003,"Allen County, OH",OH,Flooding,Minor
39003,"Allen County, OH",OH,Road obstruction,Moderate
39003,"Allen County, OH",OH,Downed line,Moderate
39003,"Allen County, OH",OH,Water main,Moderate
39003,"Allen County, OH",OH,Signal outage,Moderate
39003,"Allen County, OH",OH,Debris,Moderate
39003,"Allen County, OH",OH,Flooding,Moderate
39003,"Allen County, OH",OH,Road obstruction,Severe
39003,"Allen County, OH",OH,Downed line,Severe
39003,"Allen County, OH",OH,Water main,Severe
39003,"Allen County, OH",OH,Signal outage,Severe
39003,"Allen County, OH",OH,Debris,Severe
39003,"Allen County, OH",OH,Flooding,Severe
39003,"Allen County, OH",OH,Road obstruction,Minor
39003,"Allen County, OH",OH,Downed line,Minor
39003,"Allen County, OH",OH,Water main,Minor
39003,"Allen County, OH",OH,Signal outage,Minor
39003,"Allen County, OH",OH,Debris,Minor
39003,"Allen County, OH",OH,Flooding,Minor
39003,"Allen County, OH",OH,Road obstruction,Moderate
39003,"Allen County, OH",OH,Downed line,Moderate
39003,"Allen County, OH",OH,Water main,Moderate
39003,"Allen County, OH",OH,Signal outage,Moderate
39003,"Allen County, OH",OH,Debris,Moderate
39003,"Allen County, OH",OH,Flooding,Moderate
39003,"Allen County, OH",OH,Road obstruction,Severe
39003,"Allen County, OH",OH,Downed line,Severe
39003,"Allen County, OH",OH,Water main,Severe
39003,"Allen County, OH",OH,Signal outage,Severe
39003,"Allen County, OH",OH,Debris,Severe
39003,"Allen County, OH",OH,Flooding,Severe
39003,"Allen County, OH",OH,Road obstruction,Minor
39003,"Allen County, OH",OH,Downed line,Minor
39003,"Allen County, OH",OH,Water main,Minor
39003,"Allen County, OH",OH,Signal outage,Minor
39003,"Allen County, OH",OH,Debris,Minor
39003,"Allen County, OH",OH,Flooding,Minor
39003,"Allen County, OH",OH,Road obstruction,Moderate
39003,"Allen County, OH",OH,Downed line,Moderate
39003,"Allen County, OH",OH,Water main,Moderate
39003,"Allen County, OH",OH,Signal outage,Moderate
39003,"Allen County, OH",OH,Debris,Moderate
39003,"Allen County, OH",OH,Flooding,Moderate
39003,"Allen County, OH",OH,Road obstruction,Severe
39003,"Allen County, OH",OH,Downed line,Severe
39003,"Allen County, OH",OH,Water main,Severe
39003,"Allen County, OH",OH,Signal outage,Severe
39003,"Allen County, OH",OH,Debris,Severe
39003,"Allen County, OH",OH,Flooding,Severe
39003,"Allen County, OH",OH,Road obstruction,Minor
39003,"Allen County, OH",OH,Downed line,Minor
39003,"Allen County, OH",OH,Water main,Minor
39003,"Allen County, OH",OH,Signal outage,Minor
39003,"Allen County, OH",OH,Debris,Minor
39003,"Allen County, OH",OH,Flooding,Minor
39003,"Allen County, OH",OH,Road obstruction,Moderate
39003,"Allen County, OH",OH,Downed line,Moderate
39003,"Allen County, OH",OH,Water main,Moderate
39003,"Allen County, OH",OH,Signal outage,Moderate
39003,"Allen County, OH",OH,Debris,Moderate
39003,"Allen County, OH",OH,Flooding,Moderate
39003,"Allen County, OH",OH,Road obstruction,Severe
39003,"Allen County, OH",OH,Downed line,Severe
39003,"Allen County, OH",OH,Water main,Severe
39003,"Allen County, OH",OH,Signal outage,Severe
39003,"Allen County, OH",OH,Debris,Severe
39003,"Allen County, OH",OH,Flooding,Severe
39003,"Allen County, OH",OH,Road obstruction,Minor
39003,"Allen County, OH",OH,Downed line,Minor
39003,"Allen County, OH",OH,Water main,Minor
39003,"Allen County, OH",OH,Signal outage,Minor
39003,"Allen County, OH",OH,Debris,Minor
39003,"Allen County, OH",OH,Flooding,Minor
39003,"Allen County, OH",OH,Road obstruction,Moderate
39003,"Allen County, OH",OH,Downed line,Moderate
39003,"Allen County, OH",OH,Water main,Moderate
39003,"Allen County, OH",OH,Signal outage,Moderate
39003,"Allen County, OH",OH,Debris,Moderate
39003,"Allen County, OH",OH,Flooding,Moderate
39003,"Allen County, OH",OH,Road obstruction,Severe
39003,"Allen County, OH",OH,Downed line,Severe
39003,"Allen County, OH",OH,Water main,Severe
39005,"Ashland County, OH",OH,Road obstruction,Minor
39005,"Ashland County, OH",OH,Downed line,Minor
39005,"Ashland County, OH",OH,Water main,Minor
39005,"Ashland County, OH",OH,Signal outage,Minor
39005,"Ashland County, OH",OH,Debris,Minor
39005,"Ashland County, OH",OH,Flooding,Minor
39005,"Ashland County, OH",OH,Road obstruction,Moderate
39005,"Ashland County, OH",OH,Downed line,Moderate
39005,"Ashland County, OH",OH,Water main,Moderate
39005,"Ashland County, OH",OH,Signal outage,Moderate
39005,"Ashland County, OH",OH,Debris,Moderate
39005,"Ashland County, OH",OH,Flooding,Moderate
39005,"Ashland County, OH",OH,Road obstruction,Severe
39005,"Ashland County, OH",OH,Downed line,Severe
39005,"Ashland County, OH",OH,Water main,Severe
39005,"Ashland County, OH",OH,Signal outage,Severe
39005,"Ashland County, OH",OH,Debris,Severe
39005,"Ashland County, OH",OH,Flooding,Severe
39005,"Ashland County, OH",OH,Road obstruction,Minor
39005,"Ashland County, OH",OH,Downed line,Minor
39005,"Ashland County, OH",OH,Water main,Minor
39005,"Ashland County, OH",OH,Signal outage,Minor
39005,"Ashland County, OH",OH,Debris,Minor
39005,"Ashland County, OH",OH,Flooding,Minor
39005,"Ashland County, OH",OH,Road obstruction,Moderate
39005,"Ashland County, OH",OH,Downed line,Moderate
39005,"Ashland County, OH",OH,Water main,Moderate
39005,"Ashland County, OH",OH,Signal outage,Moderate
39005,"Ashland County, OH",OH,Debris,Moderate
39005,"Ashland County, OH",OH,Flooding,Moderate
39005,"Ashland County, OH",OH,Road obstruction,Severe
39005,"Ashland County, OH",OH,Downed line,Severe
39005,"Ashland County, OH",OH,Water main,Severe
39005,"Ashland County, OH",OH,Signal outage,Severe
39005,"Ashland County, OH",OH,Debris,Severe
39005,"Ashland County, OH",OH,Flooding,Severe
39005,"Ashland County, OH",OH,Road obstruction,Minor
39005,"Ashland County, OH",OH,Downed line,Minor
39005,"Ashland County, OH",OH,Water main,Minor
39005,"Ashland County, OH",OH,Signal outage,Minor
39005,"Ashland County, OH",OH,Debris,Minor
39005,"Ashland County, OH",OH,Flooding,Minor
39005,"Ashland County, OH",OH,Road obstruction,Moderate
39005,"Ashland County, OH",OH,Downed line,Moderate
39005,"Ashland County, OH",OH,Water main,Moderate
39005,"Ashland County, OH",OH,Signal outage,Moderate
39005,"Ashland County, OH",OH,Debris,Moderate
39005,"Ashland County, OH",OH,Flooding,Moderate
39005,"Ashland County, OH",OH,Road obstruction,Severe
39005,"Ashland County, OH",OH,Downed line,Severe
39005,"Ashland County, OH",OH,Water main,Severe
39005,"Ashland County, OH",OH,Signal outage,Severe
39005,"Ashland County, OH",OH,Debris,Severe
39005,"Ashland County, OH",OH,Flooding,Severe
39005,"Ashland County, OH",OH,Road obstruction,Minor
39005,"Ashland County, OH",OH,Downed line,Minor
39005,"Ashland County, OH",OH,Water main,Minor
39005,"Ashland County, OH",OH,Signal outage,Minor
39005,"Ashland County, OH",OH,Debris,Minor
39005,"Ashland County, OH",OH,Flooding,Minor
39005,"Ashland County, OH",OH,Road obstruction,Moderate
39005,"Ashland County, OH",OH,Downed line,Moderate
39005,"Ashland County, OH",OH,Water main,Moderate
39005,"Ashland County, OH",OH,Signal outage,Moderate
39005,"Ashland County, OH",OH,Debris,Moderate
39005,"Ashland County, OH",OH,Flooding,Moderate
39005,"Ashland County, OH",OH,Road obstruction,Severe
39007,"Ashtabula County, OH",OH,Road obstruction,Minor
39007,"Ashtabula County, OH",OH,Downed line,Minor
39007,"Ashtabula County, OH",OH,Water main,Minor
39007,"Ashtabula County, OH",OH,Signal outage,Minor
39007,"Ashtabula County, OH",OH,Debris,Minor
39007,"Ashtabula County, OH",OH,Flooding,Minor
39007,"Ashtabula County, OH",OH,Road obstruction,Moderate
39007,"Ashtabula County, OH",OH,Downed line,Moderate
39007,"Ashtabula County, OH",OH,Water main,Moderate
39007,"Ashtabula County, OH",OH,Signal outage,Moderate
39007,"Ashtabula County, OH",OH,Debris,Moderate
39007,"Ashtabula County, OH",OH,Flooding,Moderate
39007,"Ashtabula County, OH",OH,Road obstruction,Severe
39007,"Ashtabula County, OH",OH,Downed line,Severe
39007,"Ashtabula County, OH",OH,Water main,Severe
39007,"Ashtabula County, OH",OH,Signal outage,Severe
39007,"Ashtabula County, OH",OH,Debris,Severe
39007,"Ashtabula County, OH",OH,Flooding,Severe
39007,"Ashtabula County, OH",OH,Road obstruction,Minor
39007,"Ashtabula County, OH",OH,Downed line,Minor
39007,"Ashtabula County, OH",OH,Water main,Minor
39007,"Ashtabula County, OH",OH,Signal outage,Minor
39007,"Ashtabula County, OH",OH,Debris,Minor
39007,"Ashtabula County, OH",OH,Flooding,Minor
39007,"Ashtabula County, OH",OH,Road obstruction,Moderate
39007,"Ashtabula County, OH",OH,Downed line,Moderate
39007,"Ashtabula County, OH",OH,Water main,Moderate
39007,"Ashtabula County, OH",OH,Signal outage,Moderate
39007,"Ashtabula County, OH",OH,Debris,Moderate
39007,"Ashtabula County, OH",OH,Flooding,Moderate
39007,"Ashtabula County, OH",OH,Road obstruction,Severe
39007,"Ashtabula County, OH",OH,Downed line,Severe
39007,"Ashtabula County, OH",OH,Water main,Severe
39007,"Ashtabula County, OH",OH,Signal outage,Severe
39007,"Ashtabula County, OH",OH,Debris,Severe
39007,"Ashtabula County, OH",OH,Flooding,Severe
39007,"Ashtabula County, OH",OH,Road obstruction,Minor
39007,"Ashtabula County, OH",OH,Downed line,Minor
39007,"Ashtabula County, OH",OH,Water main,Minor
39007,"Ashtabula County, OH",OH,Signal outage,Minor
39007,"Ashtabula County, OH",OH,Debris,Minor
39007,"Ashtabula County, OH",OH,Flooding,Minor
39007,"Ashtabula County, OH",OH,Road obstruction,Moderate
39007,"Ashtabula County, OH",OH,Downed line,Moderate
39007,"Ashtabula County, OH",OH,Water main,Moderate
39007,"Ashtabula County, OH",OH,Signal outage,Moderate
39007,"Ashtabula County, OH",OH,Debris,Moderate
39007,"Ashtabula County, OH",OH,Flooding,Moderate
39007,"Ashtabula County, OH",OH,Road obstruction,Severe
39007,"Ashtabula County, OH",OH,Downed line,Severe
39007,"Ashtabula County, OH",OH,Water main,Severe
39007,"Ashtabula County, OH",OH,Signal outage,Severe
39007,"Ashtabula County, OH",OH,Debris,Severe
39007,"Ashtabula County, OH",OH,Flooding,Severe
39007,"Ashtabula County, OH",OH,Road obstruction,Minor
39007,"Ashtabula County, OH",OH,Downed line,Minor
39007,"Ashtabula County, OH",OH,Water main,Minor
39007,"Ashtabula County, OH",OH,Signal outage,Minor
39007,"Ashtabula County, OH",OH,Debris,Minor
39007,"Ashtabula County, OH",OH,Flooding,Minor
39007,"Ashtabula County, OH",OH,Road obstruction,Moderate
39007,"Ashtabula County, OH",OH,Downed line,Moderate
39007,"Ashtabula County, OH",OH,Water main,Moderate
39007,"Ashtabula County, OH",OH,Signal outage,Moderate
39007,"Ashtabula County, OH",OH,Debris,Moderate
39007,"Ashtabula County, OH",OH,Flooding,Moderate
39007,"Ashtabula County, OH",OH,Road obstruction,Severe
39007,"Ashtabula County, OH",OH,Downed line,Severe
39007,"Ashtabula County, OH",OH,Water main,Severe
39007,"Ashtabula County, OH",OH,Signal outage,Severe
39007,"Ashtabula County, OH",OH,Debris,Severe
39007,"Ashtabula County, OH",OH,Flooding,Severe
39007,"Ashtabula County, OH",OH,Road obstruction,Minor
39007,"Ashtabula County, OH",OH,Downed line,Minor
39007,"Ashtabula County, OH",OH,Water main,Minor
39007,"Ashtabula County, OH",OH,Signal outage,Minor
39007,"Ashtabula County, OH",OH,Debris,Minor
39007,"Ashtabula County, OH",OH,Flooding,Minor
39007,"Ashtabula County, OH",OH,Road obstruction,Moderate
39007,"Ashtabula County, OH",OH,Downed line,Moderate
39007,"Ashtabula County, OH",OH,Water main,Moderate
39007,"Ashtabula County, OH",OH,Signal outage,Moderate
39007,"Ashtabula County, OH",OH,Debris,Moderate
39007,"Ashtabula County, OH",OH,Flooding,Moderate
39007,"Ashtabula County, OH",OH,Road obstruction,Severe
39007,"Ashtabula County, OH",OH,Downed line,Severe
39007,"Ashtabula County, OH",OH,Water main,Severe
39007,"Ashtabula County, OH",OH,Signal outage,Severe
39007,"Ashtabula County, OH",OH,Debris,Severe
39007,"Ashtabula County, OH",OH,Flooding,Severe
39007,"Ashtabula County, OH",OH,Road obstruction,Minor
39007,"Ashtabula County, OH",OH,Downed line,Minor
39007,"Ashtabula County, OH",OH,Water main,Minor
39007,"Ashtabula County, OH",OH,Signal outage,Minor
39007,"Ashtabula County, OH",OH,Debris,Minor
39007,"Ashtabula County, OH",OH,Flooding,Minor
39007,"Ashtabula County, OH",OH,Road obstruction,Moderate
39007,"Ashtabula County, OH",OH,Downed line,Moderate
39007,"Ashtabula County, OH",OH,Water main,Moderate
39007,"Ashtabula County, OH",OH,Signal outage,Moderate
39007,"Ashtabula County, OH",OH,Debris,Moderate
39007,"Ashtabula County, OH",OH,Flooding,Moderate
39007,"Ashtabula County, OH",OH,Road obstruction,Severe
39007,"Ashtabula County, OH",OH,Downed line,Severe
39007,"Ashtabula County, OH",OH,Water main,Severe
39007,"Ashtabula County, OH",OH,Signal outage,Severe
39007,"Ashtabula County, OH",OH,Debris,Severe
39007,"Ashtabula County, OH",OH,Flooding,Severe
39007,"Ashtabula County, OH",OH,Road obstruction,Minor
39007,"Ashtabula County, OH",OH,Downed line,Minor
39007,"Ashtabula County, OH",OH,Water main,Minor
39009,"Athens County, OH",OH,Road obstruction,Minor
39009,"Athens County, OH",OH,Downed line,Minor
39009,"Athens County, OH",OH,Water main,Minor
39009,"Athens County, OH",OH,Signal outage,Minor
39009,"Athens County, OH",OH,Debris,Minor
39009,"Athens County, OH",OH,Flooding,Minor
39009,"Athens County, OH",OH,Road obstruction,Moderate
39009,"Athens County, OH",OH,Downed line,Moderate
39009,"Athens County, OH",OH,Water main,Moderate
39009,"Athens County, OH",OH,Signal outage,Moderate
39009,"Athens County, OH",OH,Debris,Moderate
39009,"Athens County, OH",OH,Flooding,Moderate
39009,"Athens County, OH",OH,Road obstruction,Severe
39009,"Athens County, OH",OH,Downed line,Severe
39009,"Athens County, OH",OH,Water main,Severe
39009,"Athens County, OH",OH,Signal outage,Severe
39009,"Athens County, OH",OH,Debris,Severe
39009,"Athens County, OH",OH,Flooding,Severe
39009,"Athens County, OH",OH,Road obstruction,Minor
39009,"Athens County, OH",OH,Downed line,Minor
39009,"Athens County, OH",OH,Water main,Minor
39009,"Athens County, OH",OH,Signal outage,Minor
39009,"Athens County, OH",OH,Debris,Minor
39009,"Athens County, OH",OH,Flooding,Minor
39009,"Athens County, OH",OH,Road obstruction,Moderate
39009,"Athens County, OH",OH,Downed line,Moderate
39009,"Athens County, OH",OH,Water main,Moderate
39009,"Athens County, OH",OH,Signal outage,Moderate
39009,"Athens County, OH",OH,Debris,Moderate
39009,"Athens County, OH",OH,Flooding,Moderate
39009,"Athens County, OH",OH,Road obstruction,Severe
39009,"Athens County, OH",OH,Downed line,Severe
39009,"Athens County, OH",OH,Water main,Severe
39009,"Athens County, OH",OH,Signal outage,Severe
39009,"Athens County, OH",OH,Debris,Severe
39009,"Athens County, OH",OH,Flooding,Severe
39009,"Athens County, OH",OH,Road obstruction,Minor
39009,"Athens County, OH",OH,Downed line,Minor
39009,"Athens County, OH",OH,Water main,Minor
39009,"Athens County, OH",OH,Signal outage,Minor
39009,"Athens County, OH",OH,Debris,Minor
39009,"Athens County, OH",OH,Flooding,Minor
39009,"Athens County, OH",OH,Road obstruction,Moderate
39009,"Athens County, OH",OH,Downed line,Moderate
39009,"Athens County, OH",OH,Water main,Moderate
39009,"Athens County, OH",OH,Signal outage,Moderate
39009,"Athens County, OH",OH,Debris,Moderate
39009,"Athens County, OH",OH,Flooding,Moderate
39009,"Athens County, OH",OH,Road obstruction,Severe
39009,"Athens County, OH",OH,Downed line,Severe
39009,"Athens County, OH",OH,Water main,Severe
39009,"Athens County, OH",OH,Signal outage,Severe
39009,"Athens County, OH",OH,Debris,Severe
39009,"Athens County, OH",OH,Flooding,Severe
39009,"Athens County, OH",OH,Road obstruction,Minor
39009,"Athens County, OH",OH,Downed line,Minor
39009,"Athens County, OH",OH,Water main,Minor
39009,"Athens County, OH",OH,Signal outage,Minor
39009,"Athens County, OH",OH,Debris,Minor
39009,"Athens County, OH",OH,Flooding,Minor
39009,"Athens County, OH",OH,Road obstruction,Moderate
39009,"Athens County, OH",OH,Downed line,Moderate
39009,"Athens County, OH",OH,Water main,Moderate
39009,"Athens County, OH",OH,Signal outage,Moderate
39009,"Athens County, OH",OH,Debris,Moderate
39009,"Athens County, OH",OH,Flooding,Moderate
39009,"Athens County, OH",OH,Road obstruction,Severe
39009,"Athens County, OH",OH,Downed line,Severe
39009,"Athens County, OH",OH,Water main,Severe
39009,"Athens County, OH",OH,Signal outage,Severe
39009,"Athens County, OH",OH,Debris,Severe
39009,"Athens County, OH",OH,Flooding,Severe
39009,"Athens County, OH",OH,Road obstruction,Minor
39009,"Athens County, OH",OH,Downed line,Minor
39009,"Athens County, OH",OH,Water main,Minor
39009,"Athens County, OH",OH,Signal outage,Minor
39009,"Athens County, OH",OH,Debris,Minor
39009,"Athens County, OH",OH,Flooding,Minor
39009,"Athens County, OH",OH,Road obstruction,Moderate
39009,"Athens County, OH",OH,Downed line,Moderate
39009,"Athens County, OH",OH,Water main,Moderate
39009,"Athens County, OH",OH,Signal outage,Moderate
39009,"Athens County, OH",OH,Debris,Moderate
39009,"Athens County, OH",OH,Flooding,Moderate
39009,"Athens County, OH",OH,Road obstruction,Severe
39009,"Athens County, OH",OH,Downed line,Severe
39009,"Athens County, OH",OH,Water main,Severe
39009,"Athens County, OH",OH,Signal outage,Severe
39009,"Athens County, OH",OH,Debris,Severe
39009,"Athens County, OH",OH,Flooding,Severe
39009,"Athens County, OH",OH,Road obstruction,Minor
39009,"Athens County, OH",OH,Downed line,Minor
39009,"Athens County, OH",OH,Water main,Minor
39011,"Auglaize County, OH",OH,Road obstruction,Minor
39011,"Auglaize County, OH",OH,Downed line,Minor
39011,"Auglaize County, OH",OH,Water main,Minor
39011,"Auglaize County, OH",OH,Signal outage,Minor
39011,"Auglaize County, OH",OH,Debris,Minor
39011,"Auglaize County, OH",OH,Flooding,Minor
39011,"Auglaize County, OH",OH,Road obstruction,Moderate
39011,"Auglaize County, OH",OH,Downed line,Moderate
39011,"Auglaize County, OH",OH,Water main,Moderate
39011,"Auglaize County, OH",OH,Signal outage,Moderate
39011,"Auglaize County, OH",OH,Debris,Moderate
39011,"Auglaize County, OH",OH,Flooding,Moderate
39011,"Auglaize County, OH",OH,Road obstruction,Severe
39011,"Auglaize County, OH",OH,Downed line,Severe
39011,"Auglaize County, OH",OH,Water main,Severe
39011,"Auglaize County, OH",OH,Signal outage,Severe
39011,"Auglaize County, OH",OH,Debris,Severe
39011,"Auglaize County, OH",OH,Flooding,Severe
39011,"Auglaize County, OH",OH,Road obstruction,Minor
39011,"Auglaize County, OH",OH,Downed line,Minor
39011,"Auglaize County, OH",OH,Water main,Minor
39011,"Auglaize County, OH",OH,Signal outage,Minor
39011,"Auglaize County, OH",OH,Debris,Minor
39011,"Auglaize County, OH",OH,Flooding,Minor
39011,"Auglaize County, OH",OH,Road obstruction,Moderate
39011,"Auglaize County, OH",OH,Downed line,Moderate
39011,"Auglaize County, OH",OH,Water main,Moderate
39011,"Auglaize County, OH",OH,Signal outage,Moderate
39011,"Auglaize County, OH",OH,Debris,Moderate
39011,"Auglaize County, OH",OH,Flooding,Moderate
39011,"Auglaize County, OH",OH,Road obstruction,Severe
39011,"Auglaize County, OH",OH,Downed line,Severe
39011,"Auglaize County, OH",OH,Water main,Severe
39011,"Auglaize County, OH",OH,Signal outage,Severe
39011,"Auglaize County, OH",OH,Debris,Severe
39011,"Auglaize County, OH",OH,Flooding,Severe
39011,"Auglaize County, OH",OH,Road obstruction,Minor
39011,"Auglaize County, OH",OH,Downed line,Minor
39011,"Auglaize County, OH",OH,Water main,Minor
39011,"Auglaize County, OH",OH,Signal outage,Minor
39011,"Auglaize County, OH",OH,Debris,Minor
39011,"Auglaize County, OH",OH,Flooding,Minor
39011,"Auglaize County, OH",OH,Road obstruction,Moderate
39011,"Auglaize County, OH",OH,Downed line,Moderate
39011,"Auglaize County, OH",OH,Water main,Moderate
39011,"Auglaize County, OH",OH,Signal outage,Moderate
39011,"Auglaize County, OH",OH,Debris,Moderate
39011,"Auglaize County, OH",OH,Flooding,Moderate
39011,"Auglaize County, OH",OH,Road obstruction,Severe
39011,"Auglaize County, OH",OH,Downed line,Severe
39011,"Auglaize County, OH",OH,Water main,Severe
39011,"Auglaize County, OH",OH,Signal outage,Severe
39011,"Auglaize County, OH",OH,Debris,Severe
39011,"Auglaize County, OH",OH,Flooding,Severe
39011,"Auglaize County, OH",OH,Road obstruction,Minor
39011,"Auglaize County, OH",OH,Downed line,Minor
39011,"Auglaize County, OH",OH,Water main,Minor
39011,"Auglaize County, OH",OH,Signal outage,Minor
39011,"Auglaize County, OH",OH,Debris,Minor
39011,"Auglaize County, OH",OH,Flooding,Minor
39011,"Auglaize County, OH",OH,Road obstruction,Moderate
39011,"Auglaize County, OH",OH,Downed line,Moderate
39011,"Auglaize County, OH",OH,Water main,Moderate
39011,"Auglaize County, OH",OH,Signal outage,Moderate
39011,"Auglaize County, OH",OH,Debris,Moderate
39011,"Auglaize County, OH",OH,Flooding,Moderate
39011,"Auglaize County, OH",OH,Road obstruction,Severe
39011,"Auglaize County, OH",OH,Downed line,Severe
39011,"Auglaize County, OH",OH,Water main,Severe
39011,"Auglaize County, OH",OH,Signal outage,Severe
39011,"Auglaize County, OH",OH,Debris,Severe
39011,"Auglaize County, OH",OH,Flooding,Severe
39011,"Auglaize County, OH",OH,Road obstruction,Minor
39011,"Auglaize County, OH",OH,Downed line,Minor
39011,"Auglaize County, OH",OH,Water main,Minor
39011,"Auglaize County, OH",OH,Signal outage,Minor
39013,"Belmont County, OH",OH,Road obstruction,Minor
39013,"Belmont County, OH",OH,Downed line,Minor
39013,"Belmont County, OH",OH,Water main,Minor
39013,"Belmont County, OH",OH,Signal outage,Minor
39013,"Belmont County, OH",OH,Debris,Minor
39013,"Belmont County, OH",OH,Flooding,Minor
39013,"Belmont County, OH",OH,Road obstruction,Moderate
39013,"Belmont County, OH",OH,Downed line,Moderate
39013,"Belmont County, OH",OH,Water main,Moderate
39013,"Belmont County, OH",OH,Signal outage,Moderate
39013,"Belmont County, OH",OH,Debris,Moderate
39013,"Belmont County, OH",OH,Flooding,Moderate
39013,"Belmont County, OH",OH,Road obstruction,Severe
39013,"Belmont County, OH",OH,Downed line,Severe
39013,"Belmont County, OH",OH,Water main,Severe
39013,"Belmont County, OH",OH,Signal outage,Severe
39013,"Belmont County, OH",OH,Debris,Severe
39013,"Belmont County, OH",OH,Flooding,Severe
39013,"Belmont County, OH",OH,Road obstruction,Minor
39013,"Belmont County, OH",OH,Downed line,Minor
39013,"Belmont County, OH",OH,Water main,Minor
39013,"Belmont County, OH",OH,Signal outage,Minor
39013,"Belmont County, OH",OH,Debris,Minor
39013,"Belmont County, OH",OH,Flooding,Minor
39013,"Belmont County, OH",OH,Road obstruction,Moderate
39013,"Belmont County, OH",OH,Downed line,Moderate
39013,"Belmont County, OH",OH,Water main,Moderate
39013,"Belmont County, OH",OH,Signal outage,Moderate
39013,"Belmont County, OH",OH,Debris,Moderate
39013,"Belmont County, OH",OH,Flooding,Moderate
39013,"Belmont County, OH",OH,Road obstruction,Severe
39013,"Belmont County, OH",OH,Downed line,Severe
39013,"Belmont County, OH",OH,Water main,Severe
39013,"Belmont County, OH",OH,Signal outage,Severe
39013,"Belmont County, OH",OH,Debris,Severe
