contact_date,county,state,gender,age_range,level_1_classification,needs_met
2023-09-26,Allegheny County,PA,F,45 to 64,Individual and Family Life,t
2023-09-26,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-26,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-26,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-26,Allegheny County,PA,M,25 to 44,Basic Needs,f
2023-09-26,Allegheny County,PA,M,25 to 44,Basic Needs,f
2023-09-26,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-26,Allegheny County,PA,M,25 to 44,Income Support and Employment,t
2023-09-26,Allegheny County,PA,M,25 to 44,Income Support and Employment,t
2023-09-26,Allegheny County,PA,M,25 to 44,Income Support and Employment,t
2023-09-26,Beaver County,PA,F,18 to 24,Basic Needs,t
2023-09-26,Beaver County,PA,F,18 to 24,Basic Needs,t
2023-09-26,Beaver County,PA,F,18 to 24,Basic Needs,t
2023-09-26,Beaver County,PA,F,18 to 24,Consumer Services,t
2023-09-26,Beaver County,PA,F,18 to 24,Income Support and Employment,t
2023-09-26,Beaver County,PA,F,18 to 24,Individual and Family Life,t
2023-09-26,Beaver County,PA,F,18 to 24,Individual and Family Life,t
2023-09-26,Elk County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Elk County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Elk County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Erie County,PA,F,25 to 44,Income Support and Employment,t
2023-09-26,Erie County,PA,M,45 to 64,Basic Needs,t
2023-09-26,Erie County,PA,M,45 to 64,Basic Needs,t
2023-09-26,Erie County,PA,M,45 to 64,Basic Needs,t
2023-09-26,Erie County,PA,M,45 to 64,Basic Needs,t
2023-09-26,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-26,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-26,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-26,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-26,Lawrence County,PA,M,45 to 64,Basic Needs,t
2023-09-26,Mercer County,PA,,,Basic Needs,t
2023-09-26,Mercer County,PA,,,Basic Needs,t
2023-09-26,Mercer County,PA,,,Basic Needs,t
2023-09-26,Mercer County,PA,,,Basic Needs,t
2023-09-26,Mercer County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Mercer County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Mercer County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Mercer County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Mercer County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Mercer County,PA,F,25 to 44,Basic Needs,t
2023-09-26,Mercer County,PA,F,25 to 44,Income Support and Employment,t
2023-09-26,Mercer County,PA,M,25 to 44,Income Support and Employment,t
2023-09-26,Mercer County,PA,M,25 to 44,Income Support and Employment,t
2023-09-26,Washington County,PA,F,45 to 64,Basic Needs,t
2023-09-26,Washington County,PA,F,45 to 64,Basic Needs,t
2023-09-26,Washington County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,,25 to 44,Health Care,t
2023-09-27,Allegheny County,PA,,25 to 44,Health Care,t
2023-09-27,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-27,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-27,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-27,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-27,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-27,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-27,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Allegheny County,PA,F,25 to 44,Criminal Justice and Legal Services,t
2023-09-27,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Allegheny County,PA,F,45 to 64,Consumer Services,t
2023-09-27,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-09-27,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-09-27,Armstrong County,PA,M,45 to 64,Basic Needs,t
2023-09-27,Armstrong County,PA,M,45 to 64,Basic Needs,t
2023-09-27,Armstrong County,PA,M,45 to 64,Consumer Services,t
2023-09-27,Armstrong County,PA,M,45 to 64,Income Support and Employment,t
2023-09-27,Clarion County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Clarion County,PA,F,25 to 44,Income Support and Employment,t
2023-09-27,Clarion County,PA,F,25 to 44,Income Support and Employment,t
2023-09-27,Clearfield County,PA,M,18 to 24,Basic Needs,f
2023-09-27,Clearfield County,PA,M,18 to 24,Basic Needs,t
2023-09-27,Clearfield County,PA,M,18 to 24,Basic Needs,t
2023-09-27,Clearfield County,PA,M,18 to 24,Basic Needs,t
2023-09-27,Elk County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Elk County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Erie County,PA,F,25 to 44,Basic Needs,f
2023-09-27,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Erie County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Erie County,PA,F,45 to 64,Basic Needs,f
2023-09-27,Erie County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Fayette County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Fayette County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Fayette County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Fayette County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Fayette County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Fayette County,PA,F,45 to 64,Basic Needs,t
2023-09-27,Mercer County,PA,M,25 to 44,Basic Needs,t
2023-09-27,Mercer County,PA,M,25 to 44,Basic Needs,t
2023-09-27,Mercer County,PA,M,25 to 44,Basic Needs,t
2023-09-27,Venango County,PA,F,65 and over,Basic Needs,t
2023-09-27,Venango County,PA,F,65 and over,Basic Needs,t
2023-09-27,Venango County,PA,F,65 and over,Consumer Services,t
2023-09-27,Venango County,PA,F,65 and over,Income Support and Employment,t
2023-09-27,Venango County,PA,F,65 and over,Income Support and Employment,t
2023-09-27,Venango County,PA,F,65 and over,Income Support and Employment,t
2023-09-27,Westmoreland County,PA,F,18 to 24,Basic Needs,t
2023-09-27,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-09-27,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,,25 to 44,Income Support and Employment,t
2023-09-28,Allegheny County,PA,,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,,45 to 64,Income Support and Employment,t
2023-09-28,Allegheny County,PA,F,,Income Support and Employment,t
2023-09-28,Allegheny County,PA,F,,Income Support and Employment,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,f
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,f
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,F,25 to 44,Consumer Services,t
2023-09-28,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-09-28,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,f
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,f
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-09-28,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-09-28,Allegheny County,PA,F,45 to 64,Organizational/Community/International Services,t
2023-09-28,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-28,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-28,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-28,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-28,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-09-28,Allegheny County,PA,F,65 and over,Criminal Justice and Legal Services,t
2023-09-28,Allegheny County,PA,F,65 and over,Income Support and Employment,t
2023-09-28,Allegheny County,PA,F,65 and over,Individual and Family Life,t
2023-09-28,Allegheny County,PA,F,65 and over,Individual and Family Life,t
2023-09-28,Allegheny County,PA,F,65 and over,Individual and Family Life,t
2023-09-28,Allegheny County,PA,F,65 and over,Individual and Family Life,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Armstrong County,PA,F,0 to 5,Basic Needs,f
2023-09-28,Armstrong County,PA,F,0 to 5,Basic Needs,t
2023-09-28,Armstrong County,PA,F,0 to 5,Basic Needs,t
2023-09-28,Armstrong County,PA,F,0 to 5,Basic Needs,t
2023-09-28,Beaver County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Beaver County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Beaver County,PA,F,25 to 44,Basic Needs,t
2023-09-28,Beaver County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Beaver County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Beaver County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Beaver County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Beaver County,PA,M,25 to 44,Basic Needs,t
2023-09-28,Beaver County,PA,M,25 to 44,Income Support and Employment,t
2023-09-28,Beaver County,PA,M,65 and over,Basic Needs,t
2023-09-28,Beaver County,PA,M,65 and over,Basic Needs,t
2023-09-28,Beaver County,PA,M,65 and over,Basic Needs,t
2023-09-28,Cambria County,PA,,25 to 44,Basic Needs,t
2023-09-28,Cambria County,PA,,25 to 44,Basic Needs,t
2023-09-28,Cambria County,PA,,25 to 44,Basic Needs,t
2023-09-28,Cambria County,PA,,25 to 44,Basic Needs,t
2023-09-28,Cambria County,PA,,25 to 44,Basic Needs,t
2023-09-28,Cambria County,PA,,25 to 44,Basic Needs,t
2023-09-28,Erie County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Erie County,PA,F,45 to 64,Basic Needs,t
2023-09-28,Erie County,PA,M,45 to 64,Criminal Justice and Legal Services,t
2023-09-28,Erie County,PA,M,45 to 64,Criminal Justice and Legal Services,t
2023-09-28,Erie County,PA,M,45 to 64,Criminal Justice and Legal Services,t
2023-09-28,Erie County,PA,M,45 to 64,Organizational/Community/International Services,t
2023-09-28,Erie County,PA,M,65 and over,Basic Needs,t
2023-09-28,Erie County,PA,M,65 and over,Basic Needs,t
2023-09-28,Erie County,PA,M,65 and over,Basic Needs,t
2023-09-28,Erie County,PA,M,65 and over,Basic Needs,t
