provider_type,state,total_patients,medical_payment
Physical Therapist in Private Practice,IL,36,18106.81
Podiatry,NC,1002,76005.37
General Surgery,AL,384,207644.91
Internal Medicine,NV,630,310188.92
Anesthesiology,PA,208,19208.85
Emergency Medicine,NJ,174,
Physician Assistant,OH,17,1455.55
Chiropractic,CA,17,6022.54
Nurse Practitioner,TX,96,
Physical Therapist in Private Practice,TX,188,53782.25
Nurse Practitioner,TX,38,2174.64
Physician Assistant,NY,37,3352.15
General Practice,CA,1696,658962.04
Internal Medicine,AZ,54,14157.49
Physician Assistant,CA,37,15665.65
Ophthalmology,KY,217,
Interventional Cardiology,DC,118,
Emergency Medicine,TX,77,10251.38
Rheumatology,PA,331,59589.01
Emergency Medicine,GA,175,25813.08
Nurse Practitioner,MA,126,19980.47
Emergency Medicine,MI,477,61267.99
Family Practice,TN,98,8103
Optometry,NY,62,7807.29
Otolaryngology,CA,252,59528.43
Internal Medicine,TN,139,54288.64
Certified Registered Nurse Anesthetist (CRNA),FL,41,9701.6
Nurse Practitioner,FL,309,
Nephrology,WA,24,17506.18
Physician Assistant,LA,22,3322.6
"Psychologist, Clinical",SD,67,35616.77
Nephrology,NJ,120,32616.88
Physical Therapist in Private Practice,WA,42,15162.39
Family Practice,PA,164,112400.67
Ophthalmology,MN,239,
Dermatology,MA,210,26482.3
Urology,MD,1131,
Family Practice,CA,56,6508.19
Hematology-Oncology,CA,111,
Physician Assistant,CO,32,
Nurse Practitioner,IL,16,996.34
Nurse Practitioner,TN,47,1733.16
Anesthesiology Assistant,TX,56,3832.3
Nurse Practitioner,TN,424,28633.97
Otolaryngology,GA,392,63794.22
Diagnostic Radiology,NY,3717,171341.15
Cardiology,TN,263,16519.48
General Surgery,TX,81,48419.98
Physical Therapist in Private Practice,NJ,181,114684.7
Family Practice,PA,236,32706.16
Nurse Practitioner,MI,85,6841.13
Neurology,MN,270,33582.6
General Surgery,MI,373,143127.41
Physical Therapist in Private Practice,NY,32,31213.19
Anesthesiology,TX,302,24802.01
Dermatology,WA,338,
Chiropractic,KS,41,7221.75
Physical Therapist in Private Practice,TX,45,22709.45
Emergency Medicine,FL,109,13221.51
Nurse Practitioner,MN,71,9455.22
Cardiology,CO,80,9594.57
Nurse Practitioner,MA,52,62347.54
Certified Registered Nurse Anesthetist (CRNA),WI,289,28213.38
Interventional Cardiology,MA,260,44748.81
Family Practice,AR,545,208597.04
Nurse Practitioner,NE,273,16820.23
Nurse Practitioner,WI,11,923.59
"Psychologist, Clinical",OR,20,19983.38
Certified Registered Nurse Anesthetist (CRNA),WA,145,21367.33
Chiropractic,MA,36,5983.97
Physician Assistant,NY,24,3966.26
Orthopedic Surgery,IL,669,212900.23
Certified Registered Nurse Anesthetist (CRNA),NJ,163,13060.93
Physician Assistant,MI,120,12753.06
Emergency Medicine,KS,410,52864.01
Anesthesiology,MD,303,27785.6
Nurse Practitioner,TX,310,36222.57
Anesthesiology,NV,58,12474.64
Licensed Professional Counselor,WI,13,3073.26
Diagnostic Radiology,PA,459,
Nurse Practitioner,OK,199,18939.99
Family Practice,NY,17,5957.32
Orthopedic Surgery,KS,228,51325.42
Physical Medicine and Rehabilitation,NY,226,57747.51
Certified Registered Nurse Anesthetist (CRNA),AL,57,8144.82
Optometry,MN,27,2683.77
Hospice and Palliative Care,OR,50,13053.89
Orthopedic Surgery,CA,555,215997.32
Optometry,ND,126,8796.22
Hospitalist,NC,268,67908.13
Physical Medicine and Rehabilitation,WA,288,68018.65
Optometry,MN,94,5819.85
Family Practice,IN,274,73274.37
Emergency Medicine,ME,203,23635.74
Family Practice,WV,280,12915.79
Nurse Practitioner,FL,26,
Certified Registered Nurse Anesthetist (CRNA),OK,331,37586.29
Critical Care (Intensivists),TN,185,53187.21
Physical Therapist in Private Practice,CA,14,6669.47
Physical Therapist in Private Practice,MI,34,25661.04
Rheumatology,PA,763,285942.7
Nurse Practitioner,PA,220,15492.66
General Surgery,SC,55,5694.7
Physician Assistant,LA,230,19624.79
Ophthalmology,CO,60,9112.58
Ophthalmology,NJ,1626,309647.01
Nurse Practitioner,AR,304,46636.81
Nurse Practitioner,ID,20,1097.2
Diagnostic Radiology,CA,974,194866.88
Physician Assistant,CO,43,4531.71
Nurse Practitioner,TX,110,10875.26
General Surgery,VA,166,53072.23
Certified Registered Nurse Anesthetist (CRNA),NJ,38,3344.59
Physician Assistant,MA,223,25574.65
Nurse Practitioner,IL,139,11374.43
Nurse Practitioner,OH,26,1197.78
Interventional Cardiology,TX,347,159593.3
Physical Therapist in Private Practice,VA,13,5684.43
Nurse Practitioner,IL,97,19162.09
General Surgery,VA,191,64546.01
Endocrinology,TX,73,10364.9
Certified Registered Nurse Anesthetist (CRNA),TX,20,1779.29
Nurse Practitioner,VA,30,383.98
"Psychologist, Clinical",IL,65,41978.78
Critical Care (Intensivists),IL,106,17984.97
Family Practice,WA,18,2528.11
Hospitalist,TX,318,47802.14
Occupational Therapist in Private Practice,FL,69,102014.57
Family Practice,WA,12,1785.88
Physical Therapist in Private Practice,NY,31,15458.42
Critical Care (Intensivists),IL,224,43528.99
Optometry,OR,23,2720.53
Family Practice,MD,353,71346.61
Licensed Professional Counselor,WY,15,2173.66
Physician Assistant,MD,20,
Anesthesiology,TX,415,32728.36
Nurse Practitioner,MO,101,12908.56
Chiropractic,FL,11,1470.9
Obstetrics & Gynecology,PA,156,14360.71
Physical Therapist in Private Practice,GA,69,20629.78
Thoracic Surgery,CA,64,52853.35
Obstetrics & Gynecology,VA,57,5582.32
Emergency Medicine,KS,71,588.07
Gastroenterology,MA,247,
Emergency Medicine,MN,315,39701.89
Nurse Practitioner,CO,350,
Family Practice,NY,20,
Physical Therapist in Private Practice,UT,80,99564.43
Internal Medicine,NY,270,98494.67
Physician Assistant,MI,502,41261.01
Sports Medicine,NM,114,29749.24
Anesthesiology,CT,139,25016.68
Orthopedic Surgery,WI,505,201316.68
Ophthalmology,MI,143,67939.28
Optometry,MI,268,34306.99
Pain Management,MI,28,14719.18
Nurse Practitioner,TN,131,12086.49
Physician Assistant,FL,53,
Emergency Medicine,SC,619,83632.15
Chiropractic,IN,35,12269.77
Physical Therapist in Private Practice,AR,190,74607.01
Physician Assistant,GA,99,
Hospitalist,MA,194,45391.37
Chiropractic,CA,51,9681.37
Cardiology,FL,816,189128.52
Pulmonary Disease,OH,45,11873.23
Family Practice,IN,286,55293.22
Orthopedic Surgery,PA,631,220693.25
Chiropractic,MA,29,6419.5
Family Practice,SD,136,
Physician Assistant,FL,183,94490.49
Physician Assistant,WI,83,4894.38
Hematology-Oncology,WA,303,89018.19
Physical Medicine and Rehabilitation,CA,173,172884.91
Anesthesiology,MA,363,37793.47
Diagnostic Radiology,PA,1183,72562.15
Gastroenterology,CA,50,7785.95
"Psychologist, Clinical",CA,22,54267.97
Nurse Practitioner,SC,124,
Neurology,OK,214,221990.26
Nurse Practitioner,LA,15,252.64
Nurse Practitioner,MN,63,3640.05
Gynecological Oncology,OH,53,43972.46
Marriage and Family Therapist,MN,74,5808.27
Optometry,SD,262,28997
Ophthalmology,PA,441,110436.6
Physician Assistant,KS,210,21258.79
Occupational Therapist in Private Practice,CO,22,5635.63
Nurse Practitioner,MD,162,11246.15
Internal Medicine,MI,174,187158.49
Physical Therapist in Private Practice,CA,264,199146.23
Diagnostic Radiology,SC,931,45654.4
Cardiology,MT,2367,140700.13
Nurse Practitioner,OH,14,
Audiologist,CA,87,3414.86
Nurse Practitioner,OH,145,
Psychiatry,LA,29,4135.77
Ophthalmology,NY,235,51190.51
Diagnostic Radiology,CA,650,46133.47
Ophthalmology,NC,1743,550135.87
Family Practice,MN,88,18206.7
Internal Medicine,WA,60,11833.09
Nurse Practitioner,CT,44,15964.38
Ophthalmology,MT,329,19077.89
Physical Therapist in Private Practice,MI,80,18371.72
Physician Assistant,CA,390,
Physical Therapist in Private Practice,VA,80,30290.64
Chiropractic,WA,43,6610.63
Emergency Medicine,CA,276,40037.58
Nurse Practitioner,MD,45,5858.71
Nurse Practitioner,TX,371,83799.51
Physician Assistant,VA,15,1871.57
Certified Registered Nurse Anesthetist (CRNA),FL,224,15996.22
Nurse Practitioner,NC,45,
Nephrology,NJ,701,240185.21
Anesthesiology,MA,209,25567.23
Certified Registered Nurse Anesthetist (CRNA),MI,210,24275.43
Nurse Practitioner,IL,160,20969.89
Nurse Practitioner,RI,172,
Ophthalmology,SC,201,7401.88
Nurse Practitioner,TX,254,75343.08
Physical Therapist in Private Practice,CT,38,63525.77
Nurse Practitioner,PA,196,
Podiatry,UT,106,
Nurse Practitioner,AL,374,
Internal Medicine,WA,219,41538.02
Physician Assistant,NY,126,12552.46
Licensed Clinical Social Worker,MN,34,4780.37
Emergency Medicine,ME,251,32832.06
Occupational Therapist in Private Practice,WY,54,34276.24
Neurology,FL,434,
Nurse Practitioner,NC,63,24098.95
Nurse Practitioner,PA,307,34775.38
Family Practice,TN,277,58670.13
Nurse Practitioner,MA,740,326555.28
Nurse Practitioner,AL,313,
Anesthesiology,TX,58,10001.06
Family Practice,SC,65,16640.13
Hematology,ME,144,16037.36
Physician Assistant,KY,72,7157.75
Hospitalist,CA,17,2111.02
Nurse Practitioner,OR,60,6409.6
Nurse Practitioner,WA,31,
Cardiology,NY,48,16475.24
Physical Therapist in Private Practice,MN,14,6139.94
Family Practice,OK,147,39361.05
Nurse Practitioner,WI,42,4486.64
Podiatry,PA,120,5115.54
Neurology,WA,44,
Chiropractic,NY,21,5653.09
Nurse Practitioner,VA,202,160669.07
Neurology,MO,221,33191.89
Physician Assistant,PA,34,2768.15
Diagnostic Radiology,NY,1717,
Physical Therapist in Private Practice,MS,83,52907.24
Diagnostic Radiology,PR,102,
Family Practice,CA,120,12765.79
Hospitalist,VT,290,62909.78
Orthopedic Surgery,FL,199,44426.71
Physician Assistant,NY,46,8680.62
General Surgery,TX,105,16794.35
Physical Therapist in Private Practice,NY,15,12696.34
Rheumatology,WA,580,178474.53
Nurse Practitioner,CA,59,
Psychiatry,VA,20,7399.38
Physical Therapist in Private Practice,FL,185,88134.6
Nurse Practitioner,MN,153,
Physical Therapist in Private Practice,NC,22,2300.94
Pathology,MD,76,11665.61
Physician Assistant,MN,93,17279.82
Podiatry,NY,54,12530.57
Radiation Oncology,MT,193,156741.02
Physician Assistant,TN,15,935.56
Physician Assistant,VA,250,28814.86
Family Practice,OK,40,3121.54
Gastroenterology,PA,201,35920.07
Family Practice,WI,324,25909.82
Nurse Practitioner,TX,32,627.04
Occupational Therapist in Private Practice,CA,103,74037.14
"Psychologist, Clinical",MI,16,10549.95
Emergency Medicine,NY,765,112074.14
Physician Assistant,TN,117,10421.38
Anesthesiology,IA,140,28146.53
Physician Assistant,IL,111,6093.53
Hospitalist,CA,11,1872.3
Family Practice,IL,198,37859.68
Anesthesiology,IL,154,177458
Interventional Cardiology,NY,712,49256.07
Anesthesiology,OH,35,4075.19
Chiropractic,MI,18,2111.31
Physical Therapist in Private Practice,MN,78,10598.27
Emergency Medicine,NC,441,43662.55
"Psychologist, Clinical",MD,15,49975.8
Obstetrics & Gynecology,IN,34,3049.27
Internal Medicine,NY,76,608.38
Physical Medicine and Rehabilitation,OH,54,26450.96
Optometry,AR,202,16473.7
Family Practice,IL,348,58989.56
Certified Registered Nurse Anesthetist (CRNA),LA,218,22458.86
Otolaryngology,IL,207,27930.8
Certified Registered Nurse Anesthetist (CRNA),AL,108,10151.43
Plastic and Reconstructive Surgery,NY,11,8961.54
Pathology,KY,441,45200.25
General Surgery,IN,123,24273.43
Nurse Practitioner,TX,40,4749.9
Family Practice,NY,31,
Physician Assistant,KS,151,13771.71
Internal Medicine,PA,370,73819.21
Endocrinology,MA,256,
Internal Medicine,NY,28,3703.26
Nurse Practitioner,OH,56,5091.25
Nurse Practitioner,MO,17,1395
Physician Assistant,MI,145,11504.88
Pathology,TX,18,540.52
Nurse Practitioner,IN,206,41145.43
Physician Assistant,OH,144,11741.74
Anesthesiology,TX,115,16257.91
Family Practice,MI,66,
Nurse Practitioner,WY,52,1204.75
Family Practice,TX,282,61738.36
Physical Therapist in Private Practice,AR,105,67666.34
Physical Therapist in Private Practice,CT,32,22025.71
Emergency Medicine,MI,58,7985.6
Podiatry,IL,416,
Advanced Heart Failure and Transplant Cardiology,PA,108,15628.94
Nurse Practitioner,IL,138,6163.6
Cardiology,NY,316,18607.72
Orthopedic Surgery,TN,352,59576.59
Nurse Practitioner,MO,75,5207.11
Physician Assistant,MO,39,3361.42
Hospice and Palliative Care,TX,43,5674.7
Anesthesiology,OH,215,16997.78
Physician Assistant,PA,171,14877.54
Physician Assistant,MI,116,12544.96
Hematology-Oncology,NJ,95,19749.32
Internal Medicine,IL,167,39801.27
Internal Medicine,NY,655,231038.22
Radiation Oncology,CT,224,81049.11
Nephrology,TX,331,126519.69
Nurse Practitioner,FL,1061,204084.19
Family Practice,MI,104,11444.53
Nurse Practitioner,MI,150,15087.68
Anesthesiology,WA,57,13732.35
Certified Registered Nurse Anesthetist (CRNA),NE,44,13467.63
Internal Medicine,CA,196,50898.18
Nurse Practitioner,TX,278,69628.2
Otolaryngology,GA,580,181940.24
Physician Assistant,IL,33,3638.82
Plastic and Reconstructive Surgery,VA,98,44993.97
Nurse Practitioner,NC,45,13354.58
Physical Therapist in Private Practice,MD,216,70614.98
Nurse Practitioner,TX,123,15713.4
Psychiatry,MN,24,4162.56
Chiropractic,LA,75,18919.39
Emergency Medicine,TX,84,10540.29
Nurse Practitioner,FL,103,12157.02
Internal Medicine,PA,149,
Emergency Medicine,PA,315,46760.18
Cardiology,CA,1229,107319.77
Diagnostic Radiology,NJ,430,68005.19
Family Practice,IN,53,5662.06
Family Practice,UT,195,47586.92
Dermatology,VA,618,327048.97
Certified Registered Nurse Anesthetist (CRNA),TN,136,31624.47
Nurse Practitioner,TX,170,23840.72
Endocrinology,PA,327,36504.8
Nurse Practitioner,IL,134,10317.2
Internal Medicine,MA,75,9649.84
Anesthesiology,FL,44,7122.43
Family Practice,PA,158,19388.26
Physician Assistant,NY,52,3020.97
Nurse Practitioner,FL,342,23246.35
Pathology,MA,504,43539.6
Nurse Practitioner,IN,27,1558.54
Optometry,AR,755,
Nurse Practitioner,CO,242,20884.9
Internal Medicine,MO,181,31562.19
Diagnostic Radiology,NY,302,23551.05
Physical Therapist in Private Practice,NJ,50,40385.37
Nurse Practitioner,PA,202,22242.22
Chiropractic,NC,33,10684.04
Certified Registered Nurse Anesthetist (CRNA),AZ,107,18638.53
Family Practice,WA,28,5018.55
Anesthesiology,NY,131,18584.56
Certified Registered Nurse Anesthetist (CRNA),AL,134,8085.21
Podiatry,NY,1704,270200.86
Audiologist,WI,94,647.65
Physician Assistant,MI,40,4165.37
Nurse Practitioner,OR,74,7430.44
Obstetrics & Gynecology,IL,73,12290.35
Emergency Medicine,FL,54,7108.48
Medical Oncology,NY,29,10097.09
Chiropractic,AK,34,9537.71
Gastroenterology,TX,54,6983.96
Nurse Practitioner,AR,37,5940.93
Rheumatology,NY,170,
Nurse Practitioner,CO,49,17146.94
Gastroenterology,MO,639,
Physician Assistant,MO,227,22469.51
Physician Assistant,GA,31,4054.09
Nurse Practitioner,PA,133,
Nurse Practitioner,OH,109,21402.47
Internal Medicine,TN,381,49701.9
Family Practice,NY,127,138590.34
Internal Medicine,OR,130,25060.34
Nurse Practitioner,MA,144,11022.79
Family Practice,FL,63,
Cardiology,NY,94,81822.59
Optometry,IN,47,2975
Emergency Medicine,TN,126,14785.77
Internal Medicine,FL,19,2773.91
Internal Medicine,MO,139,35883.3
Nurse Practitioner,KY,125,
Certified Registered Nurse Anesthetist (CRNA),FL,214,26076.93
Certified Registered Nurse Anesthetist (CRNA),FL,131,14724.57
Nurse Practitioner,NY,155,16901.28
Urology,WI,62,9861.9
Plastic and Reconstructive Surgery,TN,13,3847.09
Certified Registered Nurse Anesthetist (CRNA),MI,107,7874.36
Internal Medicine,NJ,172,102336.72
Emergency Medicine,IN,660,71763.75
Dermatology,TN,942,251454.06
Internal Medicine,TX,77,8157.23
Physical Therapist in Private Practice,WA,37,24900.72
Nurse Practitioner,GA,54,7724.45
Maxillofacial Surgery,IL,13,1940.72
Nurse Practitioner,PA,119,20229.32
General Surgery,PA,95,36019.38
Certified Registered Nurse Anesthetist (CRNA),NE,15,1035.31
Endocrinology,PR,88,16206.04
Diagnostic Radiology,NY,107,1766.84
Urology,ME,215,
General Practice,CA,74,17114.98
Nurse Practitioner,IN,283,
Nurse Practitioner,NC,68,4209.38
Podiatry,NY,94,2277.33
Physician Assistant,RI,110,21478.23
Internal Medicine,DE,243,48092.5
Nurse Practitioner,NY,383,110170.44
Family Practice,OH,176,
Optometry,PA,209,30231.34
Audiologist,RI,281,19383.88
Family Practice,NY,383,70290.49
Interventional Cardiology,FL,181,101262.99
Internal Medicine,NY,752,104530.34
Physician Assistant,CA,42,4550.08
Orthopedic Surgery,GA,438,226771.89
Emergency Medicine,FL,275,34157.79
"Psychologist, Clinical",PA,68,37196.58
Pathology,MA,4386,441358.84
Internal Medicine,NJ,89,68724.64
Certified Registered Nurse Anesthetist (CRNA),CA,95,7660.88
Physical Therapist in Private Practice,NJ,184,99540.93
Physical Therapist in Private Practice,MN,62,13878.68
Nurse Practitioner,NE,11,915.44
Nurse Practitioner,OH,245,
Rheumatology,FL,640,177213.34
Physical Therapist in Private Practice,TX,85,21864.15
Nurse Practitioner,FL,126,35229.64
Certified Registered Nurse Anesthetist (CRNA),GA,132,9771.08
Pediatric Medicine,ND,433,63584.44
Occupational Therapist in Private Practice,RI,13,7355.35
Infectious Disease,TX,519,
Physical Therapist in Private Practice,PA,147,100694.27
"Psychologist, Clinical",CA,40,59099.46
Anesthesiology,OR,18,3402.8
Nurse Practitioner,FL,186,12976.75
Physician Assistant,NV,56,9516.27
Family Practice,CA,246,30761.97
Certified Registered Nurse Anesthetist (CRNA),LA,201,24206.59
Audiologist,SD,164,6340.47
Nurse Practitioner,OH,11,1274.76
Cardiology,PA,387,24027.72
Internal Medicine,MN,67,23638.46
Nuclear Medicine,CO,1243,88248.26
Advanced Heart Failure and Transplant Cardiology,NY,258,95465.16
Physician Assistant,SC,987,83574.1
Family Practice,AL,141,40756.98
Nurse Practitioner,TX,101,4751.97
Nurse Practitioner,MD,452,37842.03
Physician Assistant,WV,44,2338.1
Nurse Practitioner,MS,70,12104.29
Podiatry,MN,1109,115504.98
General Surgery,TX,73,28242.33
Family Practice,IL,245,60176.06
Obstetrics & Gynecology,AK,19,3732.89
Neurology,TX,199,36000.55
Nurse Practitioner,NY,64,4072.79
Internal Medicine,NC,133,31980.12
Nurse Practitioner,IL,195,48767.58
Anesthesiology,MI,340,25838.49
Critical Care (Intensivists),GA,393,
Internal Medicine,NY,429,109053.32
Physical Therapist in Private Practice,TX,105,28190.58
Optometry,VA,450,66810.93
Physical Therapist in Private Practice,AR,29,12974.02
Internal Medicine,OR,51,11416.43
