year,Community Board,Borough,Complaint Type,cnt
2010,02 QUEENS,QUEENS,Noise - Residential,60
2010,02 QUEENS,QUEENS,Water System,56
2010,02 QUEENS,QUEENS,Blocked Driveway,42
2010,02 QUEENS,QUEENS,Traffic Signal Condition,40
2010,02 QUEENS,QUEENS,Sewer,32
2010,02 QUEENS,QUEENS,Street Condition,23
2010,02 QUEENS,QUEENS,Noise - Street/Sidewalk,18
2010,02 QUEENS,QUEENS,Noise,18
2010,02 QUEENS,QUEENS,Illegal Parking,18
2010,02 STATEN ISLAND,STATEN ISLAND,Street Light Condition,86
2010,02 STATEN ISLAND,STATEN ISLAND,Water System,77
2010,02 STATEN ISLAND,STATEN ISLAND,Sewer,65
2010,02 STATEN ISLAND,STATEN ISLAND,Street Condition,47
2010,02 STATEN ISLAND,STATEN ISLAND,Damaged Tree,45
2010,02 STATEN ISLAND,STATEN ISLAND,Missed Collection (All Materials),40
2010,02 STATEN ISLAND,STATEN ISLAND,Traffic Signal Condition,37
2010,02 STATEN ISLAND,STATEN ISLAND,Dirty Conditions,29
2010,02 STATEN ISLAND,STATEN ISLAND,Noise - Residential,29
2010,02 STATEN ISLAND,STATEN ISLAND,Illegal Parking,28
2010,03 BRONX,BRONX,Noise - Residential,73
2010,03 BRONX,BRONX,DHS Advantage - Tenant,35
2010,03 BRONX,BRONX,Dirty Conditions,22
2010,03 BRONX,BRONX,Street Light Condition,20
2010,03 BRONX,BRONX,Water System,19
2010,03 BRONX,BRONX,General Construction/Plumbing,16
2010,03 BRONX,BRONX,Rodent,16
2010,03 BRONX,BRONX,Noise - Street/Sidewalk,14
2010,03 BRONX,BRONX,Sanitation Condition,13
2010,03 BRONX,BRONX,Blocked Driveway,13
2010,03 BROOKLYN,BROOKLYN,Noise - Residential,128
2010,03 BROOKLYN,BROOKLYN,Street Light Condition,65
2010,03 BROOKLYN,BROOKLYN,DHS Advantage - Tenant,61
2010,03 BROOKLYN,BROOKLYN,DHS Advantage -Landlord/Broker,45
2010,03 BROOKLYN,BROOKLYN,General Construction/Plumbing,45
2010,03 BROOKLYN,BROOKLYN,Dirty Conditions,43
2010,03 BROOKLYN,BROOKLYN,Water System,43
2010,03 BROOKLYN,BROOKLYN,Traffic Signal Condition,37
2010,03 BROOKLYN,BROOKLYN,Blocked Driveway,37
2010,03 BROOKLYN,BROOKLYN,Damaged Tree,33
2010,03 MANHATTAN,MANHATTAN,Noise - Residential,99
2010,03 MANHATTAN,MANHATTAN,Graffiti,86
2010,03 MANHATTAN,MANHATTAN,Noise - Commercial,78
2010,03 MANHATTAN,MANHATTAN,Street Condition,70
2010,03 MANHATTAN,MANHATTAN,Broken Muni Meter,61
2010,03 MANHATTAN,MANHATTAN,Noise,47
2010,03 MANHATTAN,MANHATTAN,Taxi Complaint,43
2010,03 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,36
2010,03 MANHATTAN,MANHATTAN,Water System,32
2010,03 MANHATTAN,MANHATTAN,General Construction/Plumbing,32
2010,03 QUEENS,QUEENS,Noise - Residential,88
2010,03 QUEENS,QUEENS,Blocked Driveway,85
2010,03 QUEENS,QUEENS,Dirty Conditions,59
2010,03 QUEENS,QUEENS,Building/Use,55
2010,03 QUEENS,QUEENS,Water System,51
2010,03 QUEENS,QUEENS,Street Light Condition,41
2010,03 QUEENS,QUEENS,Traffic Signal Condition,36
2010,03 QUEENS,QUEENS,General Construction/Plumbing,24
2010,03 QUEENS,QUEENS,Sewer,20
2010,03 QUEENS,QUEENS,Sanitation Condition,19
2010,03 STATEN ISLAND,STATEN ISLAND,Street Light Condition,112
2010,03 STATEN ISLAND,STATEN ISLAND,Damaged Tree,88
2010,03 STATEN ISLAND,STATEN ISLAND,Water System,75
2010,03 STATEN ISLAND,STATEN ISLAND,Street Condition,66
2010,03 STATEN ISLAND,STATEN ISLAND,Sewer,47
2010,03 STATEN ISLAND,STATEN ISLAND,Overgrown Tree/Branches,44
2010,03 STATEN ISLAND,STATEN ISLAND,Snow,42
2010,03 STATEN ISLAND,STATEN ISLAND,Missed Collection (All Materials),35
2010,03 STATEN ISLAND,STATEN ISLAND,Sanitation Condition,35
2010,03 STATEN ISLAND,STATEN ISLAND,Illegal Parking,31
2010,04 BRONX,BRONX,Noise - Residential,182
2010,04 BRONX,BRONX,Water System,59
2010,04 BRONX,BRONX,DHS Advantage - Tenant,54
2010,04 BRONX,BRONX,Elevator,26
2010,04 BRONX,BRONX,Blocked Driveway,25
2010,04 BRONX,BRONX,Graffiti,22
2010,04 BRONX,BRONX,Rodent,19
2010,04 BRONX,BRONX,Street Condition,17
2010,04 BRONX,BRONX,Noise - Vehicle,14
2010,04 BRONX,BRONX,SCRIE,14
2010,04 BROOKLYN,BROOKLYN,Water System,71
2010,04 BROOKLYN,BROOKLYN,Noise - Residential,60
2010,04 BROOKLYN,BROOKLYN,Street Light Condition,31
2010,04 BROOKLYN,BROOKLYN,General Construction/Plumbing,31
2010,04 BROOKLYN,BROOKLYN,Traffic Signal Condition,30
2010,04 BROOKLYN,BROOKLYN,DHS Advantage -Landlord/Broker,29
2010,04 BROOKLYN,BROOKLYN,Blocked Driveway,26
2010,04 BROOKLYN,BROOKLYN,Building/Use,24
2010,04 BROOKLYN,BROOKLYN,DHS Advantage - Tenant,21
2010,04 BROOKLYN,BROOKLYN,Noise - Commercial,19
2010,04 MANHATTAN,MANHATTAN,Taxi Complaint,96
2010,04 MANHATTAN,MANHATTAN,Noise,56
2010,04 MANHATTAN,MANHATTAN,Street Condition,56
2010,04 MANHATTAN,MANHATTAN,Noise - Residential,55
2010,04 MANHATTAN,MANHATTAN,Broken Muni Meter,37
2010,04 MANHATTAN,MANHATTAN,Noise - Commercial,35
2010,04 MANHATTAN,MANHATTAN,Dirty Conditions,34
2010,04 MANHATTAN,MANHATTAN,Water System,29
2010,04 MANHATTAN,MANHATTAN,Illegal Parking,21
2010,04 MANHATTAN,MANHATTAN,General Construction/Plumbing,20
2010,04 QUEENS,QUEENS,Noise - Residential,64
2010,04 QUEENS,QUEENS,Blocked Driveway,63
2010,04 QUEENS,QUEENS,Street Light Condition,38
2010,04 QUEENS,QUEENS,Building/Use,37
2010,04 QUEENS,QUEENS,Dirty Conditions,31
2010,04 QUEENS,QUEENS,Water System,28
2010,04 QUEENS,QUEENS,Damaged Tree,22
2010,04 QUEENS,QUEENS,Graffiti,22
2010,04 QUEENS,QUEENS,Sewer,22
2010,04 QUEENS,QUEENS,Consumer Complaint,21
2010,05 BRONX,BRONX,Noise - Residential,164
2010,05 BRONX,BRONX,Water System,58
2010,05 BRONX,BRONX,DHS Advantage - Tenant,52
2010,05 BRONX,BRONX,Graffiti,34
2010,05 BRONX,BRONX,Elevator,25
2010,05 BRONX,BRONX,Street Condition,19
2010,05 BRONX,BRONX,Dirty Conditions,19
2010,05 BRONX,BRONX,Blocked Driveway,18
2010,05 BRONX,BRONX,Noise - Street/Sidewalk,16
2010,05 BRONX,BRONX,Rodent,15
2010,05 BROOKLYN,BROOKLYN,Noise - Residential,112
2010,05 BROOKLYN,BROOKLYN,Water System,71
2010,05 BROOKLYN,BROOKLYN,Street Light Condition,67
2010,05 BROOKLYN,BROOKLYN,DHS Advantage - Tenant,62
2010,05 BROOKLYN,BROOKLYN,Blocked Driveway,50
2010,05 BROOKLYN,BROOKLYN,DHS Advantage -Landlord/Broker,47
2010,05 BROOKLYN,BROOKLYN,Sewer,43
2010,05 BROOKLYN,BROOKLYN,Street Condition,42
2010,05 BROOKLYN,BROOKLYN,Building/Use,37
2010,05 BROOKLYN,BROOKLYN,Dirty Conditions,32
2010,05 MANHATTAN,MANHATTAN,Taxi Complaint,144
2010,05 MANHATTAN,MANHATTAN,Broken Muni Meter,120
2010,05 MANHATTAN,MANHATTAN,Street Condition,62
2010,05 MANHATTAN,MANHATTAN,Noise,50
2010,05 MANHATTAN,MANHATTAN,Water System,46
2010,05 MANHATTAN,MANHATTAN,Consumer Complaint,37
2010,05 MANHATTAN,MANHATTAN,Noise - Commercial,28
2010,05 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,25
2010,05 MANHATTAN,MANHATTAN,General Construction/Plumbing,25
2010,05 MANHATTAN,MANHATTAN,Dirty Conditions,20
2010,05 QUEENS,QUEENS,Blocked Driveway,94
2010,05 QUEENS,QUEENS,Street Light Condition,83
2010,05 QUEENS,QUEENS,Damaged Tree,77
2010,05 QUEENS,QUEENS,Street Condition,64
2010,05 QUEENS,QUEENS,Sewer,61
2010,05 QUEENS,QUEENS,Noise - Residential,54
2010,05 QUEENS,QUEENS,Water System,49
2010,05 QUEENS,QUEENS,Illegal Parking,38
2010,05 QUEENS,QUEENS,Dirty Conditions,38
2010,05 QUEENS,QUEENS,Building/Use,36
2010,06 BRONX,BRONX,Noise - Residential,71
2010,06 BRONX,BRONX,DHS Advantage - Tenant,43
2010,06 BRONX,BRONX,Water System,36
2010,06 BRONX,BRONX,Graffiti,31
2010,06 BRONX,BRONX,DHS Advantage -Landlord/Broker,17
2010,06 BRONX,BRONX,Dirty Conditions,17
2010,06 BRONX,BRONX,Street Condition,14
2010,06 BRONX,BRONX,Rodent,13
2010,06 BRONX,BRONX,Blocked Driveway,13
2010,06 BRONX,BRONX,Sanitation Condition,11
2010,06 BROOKLYN,BROOKLYN,Street Light Condition,51
2010,06 BROOKLYN,BROOKLYN,Noise - Residential,37
2010,06 BROOKLYN,BROOKLYN,Traffic Signal Condition,36
2010,06 BROOKLYN,BROOKLYN,Noise - Commercial,36
2010,06 BROOKLYN,BROOKLYN,Damaged Tree,34
2010,06 BROOKLYN,BROOKLYN,Water System,33
2010,06 BROOKLYN,BROOKLYN,Street Condition,25
2010,06 BROOKLYN,BROOKLYN,Blocked Driveway,25
2010,06 BROOKLYN,BROOKLYN,Sewer,23
2010,06 BROOKLYN,BROOKLYN,General Construction/Plumbing,23
2010,06 MANHATTAN,MANHATTAN,Noise,66
2010,06 MANHATTAN,MANHATTAN,Taxi Complaint,64
2010,06 MANHATTAN,MANHATTAN,Broken Muni Meter,56
2010,06 MANHATTAN,MANHATTAN,Street Condition,41
2010,06 MANHATTAN,MANHATTAN,Noise - Residential,38
2010,06 MANHATTAN,MANHATTAN,General Construction/Plumbing,27
2010,06 MANHATTAN,MANHATTAN,Sidewalk Condition,17
2010,06 MANHATTAN,MANHATTAN,Noise - Commercial,17
2010,06 MANHATTAN,MANHATTAN,Water System,16
2010,06 MANHATTAN,MANHATTAN,DOF Property - Owner Issue,16
2010,06 QUEENS,QUEENS,Damaged Tree,77
2010,06 QUEENS,QUEENS,Noise - Residential,47
2010,06 QUEENS,QUEENS,Blocked Driveway,46
2010,06 QUEENS,QUEENS,Street Light Condition,33
2010,06 QUEENS,QUEENS,Dead Tree,27
2010,06 QUEENS,QUEENS,Water System,26
2010,06 QUEENS,QUEENS,SCRIE,20
2010,06 QUEENS,QUEENS,Broken Parking Meter,20
2010,06 QUEENS,QUEENS,Dirty Conditions,17
2010,06 QUEENS,QUEENS,Street Condition,17
2010,07 BRONX,BRONX,Noise - Residential,159
2010,07 BRONX,BRONX,Water System,60
2010,07 BRONX,BRONX,DHS Advantage - Tenant,29
2010,07 BRONX,BRONX,Blocked Driveway,28
2010,07 BRONX,BRONX,Dirty Conditions,21
2010,07 BRONX,BRONX,Noise - Street/Sidewalk,20
2010,07 BRONX,BRONX,Rodent,19
2010,07 BRONX,BRONX,Graffiti,19
2010,07 BRONX,BRONX,Street Light Condition,16
2010,07 BRONX,BRONX,Street Condition,14
2010,07 BROOKLYN,BROOKLYN,Street Light Condition,61
2010,07 BROOKLYN,BROOKLYN,Traffic Signal Condition,42
2010,07 BROOKLYN,BROOKLYN,Water System,33
2010,07 BROOKLYN,BROOKLYN,Blocked Driveway,31
2010,07 BROOKLYN,BROOKLYN,Street Condition,30
2010,07 BROOKLYN,BROOKLYN,Noise - Residential,29
2010,07 BROOKLYN,BROOKLYN,General Construction/Plumbing,26
2010,07 BROOKLYN,BROOKLYN,Building/Use,23
2010,07 BROOKLYN,BROOKLYN,Illegal Parking,19
2010,07 BROOKLYN,BROOKLYN,Sanitation Condition,15
2010,07 MANHATTAN,MANHATTAN,Noise - Residential,112
2010,07 MANHATTAN,MANHATTAN,Noise,65
2010,07 MANHATTAN,MANHATTAN,Taxi Complaint,52
2010,07 MANHATTAN,MANHATTAN,Street Condition,47
2010,07 MANHATTAN,MANHATTAN,Broken Muni Meter,40
2010,07 MANHATTAN,MANHATTAN,Illegal Parking,34
2010,07 MANHATTAN,MANHATTAN,Water System,33
2010,07 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,30
2010,07 MANHATTAN,MANHATTAN,Air Quality,29
2010,07 MANHATTAN,MANHATTAN,Rodent,27
2010,07 QUEENS,QUEENS,Damaged Tree,127
2010,07 QUEENS,QUEENS,Street Light Condition,90
2010,07 QUEENS,QUEENS,Blocked Driveway,76
2010,07 QUEENS,QUEENS,Noise - Residential,71
2010,07 QUEENS,QUEENS,Building/Use,70
2010,07 QUEENS,QUEENS,Street Condition,67
2010,07 QUEENS,QUEENS,Sewer,66
2010,07 QUEENS,QUEENS,Water System,56
2010,07 QUEENS,QUEENS,Traffic Signal Condition,54
2010,07 QUEENS,QUEENS,Dirty Conditions,49
2010,08 BRONX,BRONX,Noise - Residential,71
2010,08 BRONX,BRONX,Street Condition,34
2010,08 BRONX,BRONX,Water System,34
2010,08 BRONX,BRONX,Damaged Tree,30
2010,08 BRONX,BRONX,Blocked Driveway,23
2010,08 BRONX,BRONX,Sewer,12
2010,08 BRONX,BRONX,Sidewalk Condition,12
2010,08 BRONX,BRONX,General Construction/Plumbing,11
2010,08 BRONX,BRONX,Dirty Conditions,11
2010,08 BRONX,BRONX,Street Light Condition,10
2010,08 BRONX,MANHATTAN,Noise - Residential,2
2010,08 BRONX,MANHATTAN,Water System,2
2010,08 BRONX,MANHATTAN,Street Condition,1
2010,08 BRONX,MANHATTAN,Non-Emergency Police Matter,1
2010,08 BROOKLYN,BROOKLYN,Noise - Residential,88
2010,08 BROOKLYN,BROOKLYN,Street Light Condition,29
2010,08 BROOKLYN,BROOKLYN,Traffic Signal Condition,28
2010,08 BROOKLYN,BROOKLYN,DHS Advantage - Tenant,27
2010,08 BROOKLYN,BROOKLYN,Blocked Driveway,27
2010,08 BROOKLYN,BROOKLYN,Water System,23
2010,08 BROOKLYN,BROOKLYN,Damaged Tree,21
2010,08 BROOKLYN,BROOKLYN,Rodent,21
2010,08 BROOKLYN,BROOKLYN,General Construction/Plumbing,16
2010,08 BROOKLYN,BROOKLYN,Street Condition,15
2010,08 MANHATTAN,MANHATTAN,Taxi Complaint,92
2010,08 MANHATTAN,MANHATTAN,Noise,81
2010,08 MANHATTAN,MANHATTAN,Street Condition,67
2010,08 MANHATTAN,MANHATTAN,Noise - Residential,47
2010,08 MANHATTAN,MANHATTAN,Broken Parking Meter,38
2010,08 MANHATTAN,MANHATTAN,General Construction/Plumbing,33
2010,08 MANHATTAN,MANHATTAN,Rodent,30
2010,08 MANHATTAN,MANHATTAN,Water System,25
2010,08 MANHATTAN,MANHATTAN,Broken Muni Meter,24
2010,08 MANHATTAN,MANHATTAN,Dirty Conditions,23
2010,08 QUEENS,QUEENS,Damaged Tree,96
2010,08 QUEENS,QUEENS,Street Light Condition,71
2010,08 QUEENS,QUEENS,Water System,58
2010,08 QUEENS,QUEENS,Dirty Conditions,51
2010,08 QUEENS,QUEENS,Sewer,45
2010,08 QUEENS,QUEENS,Blocked Driveway,41
2010,08 QUEENS,QUEENS,Noise - Residential,39
2010,08 QUEENS,QUEENS,Street Condition,34
2010,08 QUEENS,QUEENS,Missed Collection (All Materials),29
2010,08 QUEENS,QUEENS,Sidewalk Condition,26
2010,09 BRONX,BRONX,Noise - Residential,157
2010,09 BRONX,BRONX,Street Light Condition,75
2010,09 BRONX,BRONX,Water System,46
2010,09 BRONX,BRONX,Blocked Driveway,43
2010,09 BRONX,BRONX,DHS Advantage - Tenant,39
2010,09 BRONX,BRONX,DHS Advantage -Landlord/Broker,32
2010,09 BRONX,BRONX,Dirty Conditions,27
2010,09 BRONX,BRONX,Sewer,24
2010,09 BRONX,BRONX,Street Condition,24
2010,09 BRONX,BRONX,Traffic Signal Condition,18
2010,09 BROOKLYN,BROOKLYN,Noise - Residential,78
2010,09 BROOKLYN,BROOKLYN,Blocked Driveway,28
2010,09 BROOKLYN,BROOKLYN,Street Light Condition,21
2010,09 BROOKLYN,BROOKLYN,Water System,19
2010,09 BROOKLYN,BROOKLYN,SCRIE,16
2010,09 BROOKLYN,BROOKLYN,Traffic Signal Condition,15
2010,09 BROOKLYN,BROOKLYN,Street Condition,15
2010,09 BROOKLYN,BROOKLYN,Sanitation Condition,14
2010,09 BROOKLYN,BROOKLYN,Elevator,14
2010,09 BROOKLYN,BROOKLYN,Building/Use,11
2010,09 MANHATTAN,MANHATTAN,Noise - Residential,108
2010,09 MANHATTAN,MANHATTAN,Water System,84
2010,09 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,31
2010,09 MANHATTAN,MANHATTAN,Rodent,18
2010,09 MANHATTAN,MANHATTAN,Noise - Vehicle,18
2010,09 MANHATTAN,MANHATTAN,Graffiti,17
2010,09 MANHATTAN,MANHATTAN,General Construction/Plumbing,15
2010,09 MANHATTAN,MANHATTAN,Noise,14
2010,09 MANHATTAN,MANHATTAN,Noise - Commercial,13
2010,09 MANHATTAN,MANHATTAN,Dirty Conditions,11
2010,09 QUEENS,QUEENS,Noise - Residential,86
2010,09 QUEENS,QUEENS,Water System,78
2010,09 QUEENS,QUEENS,Blocked Driveway,77
2010,09 QUEENS,QUEENS,Building/Use,69
2010,09 QUEENS,QUEENS,Street Light Condition,67
2010,09 QUEENS,QUEENS,Dirty Conditions,49
2010,09 QUEENS,QUEENS,Sewer,46
2010,09 QUEENS,QUEENS,Damaged Tree,38
2010,09 QUEENS,QUEENS,Sidewalk Condition,32
2010,09 QUEENS,QUEENS,Sanitation Condition,30
2010,10 BRONX,BRONX,Street Light Condition,81
2010,10 BRONX,BRONX,Damaged Tree,32
2010,10 BRONX,BRONX,Noise - Residential,31
2010,10 BRONX,BRONX,Blocked Driveway,29
2010,10 BRONX,BRONX,Water System,24
2010,10 BRONX,BRONX,Dirty Conditions,20
2010,10 BRONX,BRONX,Sewer,20
2010,10 BRONX,BRONX,Street Condition,17
2010,10 BRONX,BRONX,Sanitation Condition,16
2010,10 BRONX,BRONX,Overgrown Tree/Branches,15
2010,10 BROOKLYN,BROOKLYN,Blocked Driveway,49
2010,10 BROOKLYN,BROOKLYN,Noise - Residential,44
2010,10 BROOKLYN,BROOKLYN,Street Light Condition,41
2010,10 BROOKLYN,BROOKLYN,Street Condition,38
2010,10 BROOKLYN,BROOKLYN,Damaged Tree,31
2010,10 BROOKLYN,BROOKLYN,Sanitation Condition,23
2010,10 BROOKLYN,BROOKLYN,General Construction/Plumbing,22
2010,10 BROOKLYN,BROOKLYN,Water System,22
2010,10 BROOKLYN,BROOKLYN,Dirty Conditions,22
2010,10 BROOKLYN,BROOKLYN,Illegal Parking,21
2010,10 MANHATTAN,MANHATTAN,Noise - Residential,168
2010,10 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,38
2010,10 MANHATTAN,MANHATTAN,Water System,28
2010,10 MANHATTAN,MANHATTAN,Rodent,25
2010,10 MANHATTAN,MANHATTAN,General Construction/Plumbing,17
2010,10 MANHATTAN,MANHATTAN,Dirty Conditions,17
2010,10 MANHATTAN,MANHATTAN,Noise - Vehicle,15
2010,10 MANHATTAN,MANHATTAN,Street Condition,15
2010,10 MANHATTAN,MANHATTAN,Noise,13
2010,10 MANHATTAN,MANHATTAN,Taxi Complaint,13
2010,10 QUEENS,QUEENS,Blocked Driveway,79
2010,10 QUEENS,QUEENS,Building/Use,76
2010,10 QUEENS,QUEENS,Street Light Condition,68
2010,10 QUEENS,QUEENS,Noise - Residential,64
2010,10 QUEENS,QUEENS,Dirty Conditions,57
2010,10 QUEENS,QUEENS,Sewer,57
2010,10 QUEENS,QUEENS,Water System,41
2010,10 QUEENS,QUEENS,Damaged Tree,28
2010,10 QUEENS,QUEENS,Street Condition,26
2010,10 QUEENS,QUEENS,Sanitation Condition,24
2010,11 BRONX,BRONX,Noise - Residential,111
2010,11 BRONX,BRONX,Street Light Condition,80
2010,11 BRONX,BRONX,Water System,43
2010,11 BRONX,BRONX,Blocked Driveway,36
2010,11 BRONX,BRONX,DHS Advantage - Tenant,31
2010,11 BRONX,BRONX,Traffic Signal Condition,23
2010,11 BRONX,BRONX,Sewer,20
2010,11 BRONX,BRONX,Damaged Tree,18
2010,11 BRONX,BRONX,Street Condition,18
2010,11 BRONX,BRONX,Dirty Conditions,17
2010,11 BROOKLYN,BROOKLYN,Blocked Driveway,61
2010,11 BROOKLYN,BROOKLYN,Noise - Residential,56
2010,11 BROOKLYN,BROOKLYN,Street Condition,43
2010,11 BROOKLYN,BROOKLYN,Street Light Condition,42
2010,11 BROOKLYN,BROOKLYN,Traffic Signal Condition,39
2010,11 BROOKLYN,BROOKLYN,Building/Use,38
2010,11 BROOKLYN,BROOKLYN,Dirty Conditions,33
2010,11 BROOKLYN,BROOKLYN,Water System,31
2010,11 BROOKLYN,BROOKLYN,Traffic/Illegal Parking,27
2010,11 BROOKLYN,BROOKLYN,Sewer,27
2010,11 MANHATTAN,MANHATTAN,Noise - Residential,116
2010,11 MANHATTAN,MANHATTAN,Water System,34
2010,11 MANHATTAN,MANHATTAN,Noise,19
2010,11 MANHATTAN,MANHATTAN,General Construction/Plumbing,19
2010,11 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,18
2010,11 MANHATTAN,MANHATTAN,Street Condition,18
2010,11 MANHATTAN,MANHATTAN,Graffiti,16
2010,11 MANHATTAN,MANHATTAN,Noise - Commercial,14
2010,11 MANHATTAN,MANHATTAN,Illegal Parking,12
2010,11 MANHATTAN,MANHATTAN,Taxi Complaint,11
2010,11 QUEENS,QUEENS,Damaged Tree,132
2010,11 QUEENS,QUEENS,Street Light Condition,87
2010,11 QUEENS,QUEENS,Sewer,48
2010,11 QUEENS,QUEENS,Water System,43
2010,11 QUEENS,QUEENS,Street Condition,35
2010,11 QUEENS,QUEENS,Dead Tree,29
2010,11 QUEENS,QUEENS,Building/Use,28
2010,11 QUEENS,QUEENS,Root/Sewer/Sidewalk Condition,27
